Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
Q8N6R0	Homo sapiens	Metazoa	699	False	False
Q9BQ95	Homo sapiens	Metazoa	431	False	False
Q9NQ88	Homo sapiens	Metazoa	270	False	False
Q9NQP4	Homo sapiens	Metazoa	134	False	False
Q9Y4E8	Homo sapiens	Metazoa	981	False	False
P78537	Homo sapiens	Metazoa	153	False	False
P62826	Homo sapiens	Metazoa	216	False	False
Q8NBU5	Homo sapiens	Metazoa	361	False	True
Q6PIL6	Homo sapiens	Metazoa	250	False	False
O75897	Homo sapiens	Metazoa	302	False	False
P17812	Homo sapiens	Metazoa	591	False	False
P41252	Homo sapiens	Metazoa	1262	False	False
Q01064	Homo sapiens	Metazoa	536	False	False
Q0IIM8	Homo sapiens	Metazoa	1120	False	False
Q0VDF9	Homo sapiens	Metazoa	509	False	False
Q5VWZ2	Homo sapiens	Metazoa	237	False	False
Q7L5D6	Homo sapiens	Metazoa	327	False	False
Q8IVU3	Homo sapiens	Metazoa	1022	False	False
Q8IWV7	Homo sapiens	Metazoa	1749	False	False
Q8WTX7	Homo sapiens	Metazoa	329	False	False
Q93015	Homo sapiens	Metazoa	286	False	False
Q969F9	Homo sapiens	Metazoa	1004	False	False
Q96A44	Homo sapiens	Metazoa	273	False	False
Q96G75	Homo sapiens	Metazoa	393	False	False
Q99619	Homo sapiens	Metazoa	263	False	False
Q9NRN7	Homo sapiens	Metazoa	309	False	False
Q9NUV9	Homo sapiens	Metazoa	329	False	False
Q9ULE6	Homo sapiens	Metazoa	856	False	False
Q9Y4U1	Homo sapiens	Metazoa	282	False	False
Q9NWT8	Homo sapiens	Metazoa	199	False	False
P35813	Homo sapiens	Metazoa	382	False	False
Q9Y6X9	Homo sapiens	Metazoa	1032	False	False
Q13268	Homo sapiens	Metazoa	280	False	False
Q9Y2S7	Homo sapiens	Metazoa	368	False	False
O09174	Mus musculus	Metazoa	381	False	False
P25688	Mus musculus	Metazoa	303	False	False
Q62651	Rattus norvegicus	Metazoa	327	False	False
Q8LFT2	Arabidopsis thaliana	Viridiplantae	780	False	False
P00352	Homo sapiens	Metazoa	501	False	False
P47897	Homo sapiens	Metazoa	775	False	False
P52566	Homo sapiens	Metazoa	201	False	False
P53396	Homo sapiens	Metazoa	1101	False	False
P55786	Homo sapiens	Metazoa	919	False	False
P62854	Homo sapiens	Metazoa	115	False	False
P78417	Homo sapiens	Metazoa	241	False	False
Q04828	Homo sapiens	Metazoa	323	False	False
Q13946	Homo sapiens	Metazoa	482	False	False
Q149M9	Homo sapiens	Metazoa	1564	False	False
Q6XQN6	Homo sapiens	Metazoa	538	False	False
Q86TX2	Homo sapiens	Metazoa	421	False	False
Q8NBF2	Homo sapiens	Metazoa	726	False	False
Q96DG6	Homo sapiens	Metazoa	245	False	False
Q9NUS5	Homo sapiens	Metazoa	200	False	False
Q9UPZ3	Homo sapiens	Metazoa	1129	False	False
Q9Y3U8	Homo sapiens	Metazoa	105	False	False
Q9Y572	Homo sapiens	Metazoa	518	False	False
P09874	Homo sapiens	Metazoa	1014	False	False
Q96K12	Homo sapiens	Metazoa	515	False	False
Q9ULZ3	Homo sapiens	Metazoa	195	False	False
O75381	Homo sapiens	Metazoa	377	False	False
P28328	Homo sapiens	Metazoa	305	False	False
Q9UBJ2	Homo sapiens	Metazoa	740	False	False
O00623	Homo sapiens	Metazoa	359	False	False
O15228	Homo sapiens	Metazoa	680	False	False
O60683	Homo sapiens	Metazoa	326	False	False
P28288	Homo sapiens	Metazoa	659	False	True
O00463	Homo sapiens	Metazoa	557	False	False
O43314	Homo sapiens	Metazoa	1243	False	False
O43739	Homo sapiens	Metazoa	400	False	False
O75688	Homo sapiens	Metazoa	479	False	False
O95396	Homo sapiens	Metazoa	460	False	False
O96033	Homo sapiens	Metazoa	88	False	False
P00966	Homo sapiens	Metazoa	412	False	False
P0CG30	Homo sapiens	Metazoa	244	False	False
P23743	Homo sapiens	Metazoa	735	False	False
P24386	Homo sapiens	Metazoa	653	False	False
P35228	Homo sapiens	Metazoa	1153	False	False
P46778	Homo sapiens	Metazoa	160	False	False
P49207	Homo sapiens	Metazoa	117	False	False
P49902	Homo sapiens	Metazoa	561	False	False
P53004	Homo sapiens	Metazoa	296	False	False
Q16222	Homo sapiens	Metazoa	522	False	False
Q5GLZ8	Homo sapiens	Metazoa	1057	False	False
Q6AWC2	Homo sapiens	Metazoa	1192	False	False
Q6NVU6	Homo sapiens	Metazoa	218	False	False
Q6PD74	Homo sapiens	Metazoa	315	False	False
Q8IWZ4	Homo sapiens	Metazoa	224	False	False
Q8N3V7	Homo sapiens	Metazoa	929	False	False
Q969X0	Homo sapiens	Metazoa	211	False	False
Q96MI9	Homo sapiens	Metazoa	1112	False	False
P50091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	False	False
Q8LF36	Arabidopsis thaliana	Viridiplantae	492	False	False
Q8N3C0	Homo sapiens	Metazoa	2202	False	False
A4D126	Homo sapiens	Metazoa	451	False	False
A6NHX0	Homo sapiens	Metazoa	329	False	False
O00764	Homo sapiens	Metazoa	312	False	False
P18283	Homo sapiens	Metazoa	190	False	False
P21399	Homo sapiens	Metazoa	889	False	False
P49888	Homo sapiens	Metazoa	294	False	False
P49915	Homo sapiens	Metazoa	693	False	False
P54136	Homo sapiens	Metazoa	660	False	False
P61353	Homo sapiens	Metazoa	136	False	False
P62273	Homo sapiens	Metazoa	56	False	False
P62942	Homo sapiens	Metazoa	108	False	False
P84074	Homo sapiens	Metazoa	193	False	False
Q05084	Homo sapiens	Metazoa	483	False	False
Q13155	Homo sapiens	Metazoa	320	False	False
Q14032	Homo sapiens	Metazoa	418	False	False
Q16719	Homo sapiens	Metazoa	465	False	False
Q86UK7	Homo sapiens	Metazoa	904	False	False
Q8TAC2	Homo sapiens	Metazoa	188	False	False
Q8WYK0	Homo sapiens	Metazoa	555	False	False
Q96BD6	Homo sapiens	Metazoa	273	False	False
Q9BUX1	Homo sapiens	Metazoa	222	False	False
Q9HCR9	Homo sapiens	Metazoa	933	False	False
Q9NQW7	Homo sapiens	Metazoa	623	False	False
Q9NY33	Homo sapiens	Metazoa	737	False	False
Q9ULE0	Homo sapiens	Metazoa	1216	False	False
Q9ULP0	Homo sapiens	Metazoa	352	False	False
Q9UQN3	Homo sapiens	Metazoa	213	False	False
O00204	Homo sapiens	Metazoa	365	False	False
P19367	Homo sapiens	Metazoa	917	False	False
P52789	Homo sapiens	Metazoa	917	False	False
P41921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483	False	False
Q92968	Homo sapiens	Metazoa	403	False	False
P31327	Homo sapiens	Metazoa	1500	False	False
Q9NSK7	Homo sapiens	Metazoa	141	False	True
Q13608	Homo sapiens	Metazoa	980	False	False
P49758	Homo sapiens	Metazoa	472	False	False
O60524	Homo sapiens	Metazoa	1076	False	False
O94822	Homo sapiens	Metazoa	1766	False	False
O96007	Homo sapiens	Metazoa	188	False	False
P14868	Homo sapiens	Metazoa	501	False	False
P22061	Homo sapiens	Metazoa	227	False	False
P26374	Homo sapiens	Metazoa	656	False	False
P63220	Homo sapiens	Metazoa	83	False	False
Q02878	Homo sapiens	Metazoa	288	False	False
Q07020	Homo sapiens	Metazoa	188	False	False
Q14432	Homo sapiens	Metazoa	1141	False	True
Q15126	Homo sapiens	Metazoa	192	False	False
Q16773	Homo sapiens	Metazoa	422	False	False
Q92615	Homo sapiens	Metazoa	738	False	False
Q96G03	Homo sapiens	Metazoa	612	False	False
Q9BRS2	Homo sapiens	Metazoa	568	False	False
Q9H0F6	Homo sapiens	Metazoa	387	False	False
Q9H0R1	Homo sapiens	Metazoa	490	False	False
Q9H227	Homo sapiens	Metazoa	469	False	False
Q9H9E3	Homo sapiens	Metazoa	785	False	False
Q9NX09	Homo sapiens	Metazoa	232	False	False
Q9UBB6	Homo sapiens	Metazoa	729	False	False
Q9Y233	Homo sapiens	Metazoa	1055	False	False
Q9Y3R4	Homo sapiens	Metazoa	380	False	False
Q9NP80	Homo sapiens	Metazoa	782	False	False
P04049	Homo sapiens	Metazoa	648	False	False
Q15714	Homo sapiens	Metazoa	1073	False	False
Q8GW43	Arabidopsis thaliana	Viridiplantae	476	False	False
Q9FWA3	Arabidopsis thaliana	Viridiplantae	486	False	False
Q96MP8	Homo sapiens	Metazoa	289	False	False
Q96D53	Homo sapiens	Metazoa	544	False	False
Q9NZ56	Homo sapiens	Metazoa	1722	False	False
Q9BXM7	Homo sapiens	Metazoa	581	False	False
O00750	Homo sapiens	Metazoa	1634	False	False
Q7RTR0	Homo sapiens	Metazoa	991	False	False
Q01105	Homo sapiens	Metazoa	290	False	False
Q63276	Rattus norvegicus	Metazoa	420	False	False
Q96BY2	Homo sapiens	Metazoa	351	False	False
O75368	Homo sapiens	Metazoa	114	False	False
Q9BYG8	Homo sapiens	Metazoa	508	False	False
P21980	Homo sapiens	Metazoa	687	False	False
O60291	Homo sapiens	Metazoa	552	False	False
O15294	Homo sapiens	Metazoa	1046	False	False
Q9NPP4	Homo sapiens	Metazoa	1024	False	False
O04951	Arabidopsis thaliana	Viridiplantae	307	False	False
P41562	Rattus norvegicus	Metazoa	414	False	False
P50101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1230	False	False
O00186	Homo sapiens	Metazoa	592	False	False
Q6PFW1	Homo sapiens	Metazoa	1433	False	False
Q6ZT62	Homo sapiens	Metazoa	677	False	False
Q86TV6	Homo sapiens	Metazoa	843	False	False
Q8TCU6	Homo sapiens	Metazoa	1659	False	False
Q9BYI3	Homo sapiens	Metazoa	521	False	False
Q8N884	Homo sapiens	Metazoa	522	False	False
Q9Y4P1	Homo sapiens	Metazoa	393	False	False
O60443	Homo sapiens	Metazoa	496	False	False
Q8N2Y8	Homo sapiens	Metazoa	1516	False	False
Q9BZ67	Homo sapiens	Metazoa	464	False	False
Q969K3	Homo sapiens	Metazoa	372	False	False
Q01082	Homo sapiens	Metazoa	2364	False	False
P05230	Homo sapiens	Metazoa	155	False	False
P14735	Homo sapiens	Metazoa	1019	False	False
P49619	Homo sapiens	Metazoa	791	False	False
P59044	Homo sapiens	Metazoa	892	False	False
Q96JJ3	Homo sapiens	Metazoa	720	False	False
Q9NZ09	Homo sapiens	Metazoa	502	False	False
O95571	Homo sapiens	Metazoa	254	False	False
Q96LW4	Homo sapiens	Metazoa	560	False	False
O43808	Homo sapiens	Metazoa	307	False	False
Q86W56	Homo sapiens	Metazoa	976	False	False
Q99497	Homo sapiens	Metazoa	189	False	False
Q9Y3D6	Homo sapiens	Metazoa	152	False	False
P46379	Homo sapiens	Metazoa	1132	False	False
Q96CM3	Homo sapiens	Metazoa	377	False	False
O43504	Homo sapiens	Metazoa	91	False	False
P07814	Homo sapiens	Metazoa	1512	False	False
Q4ADV7	Homo sapiens	Metazoa	1423	False	False
O43524	Homo sapiens	Metazoa	673	False	False
O43865	Homo sapiens	Metazoa	530	False	False
Q13574	Homo sapiens	Metazoa	928	False	False
Q9H6R0	Homo sapiens	Metazoa	707	False	False
Q66K74	Homo sapiens	Metazoa	1059	False	False
Q9GZV1	Homo sapiens	Metazoa	360	False	False
Q7LBR1	Homo sapiens	Metazoa	199	False	False
Q969Q5	Homo sapiens	Metazoa	203	False	False
P38646	Homo sapiens	Metazoa	679	False	False
O95831	Homo sapiens	Metazoa	613	False	False
Q92546	Homo sapiens	Metazoa	391	False	False
Q9NZZ3	Homo sapiens	Metazoa	219	False	False
Q07820	Homo sapiens	Metazoa	350	False	False
P15104	Homo sapiens	Metazoa	373	False	False
Q8TC71	Homo sapiens	Metazoa	538	False	False
Q05315	Homo sapiens	Metazoa	142	False	False
P18054	Homo sapiens	Metazoa	663	False	False
Q14116	Homo sapiens	Metazoa	193	False	False
P41220	Homo sapiens	Metazoa	211	False	False
Q14154	Homo sapiens	Metazoa	515	False	False
P19484	Homo sapiens	Metazoa	476	False	False
P19532	Homo sapiens	Metazoa	575	False	False
Q13283	Homo sapiens	Metazoa	466	False	False
Q96PU8	Homo sapiens	Metazoa	341	False	False
Q9UH77	Homo sapiens	Metazoa	587	False	False
A6NK58	Homo sapiens	Metazoa	231	False	False
O43716	Homo sapiens	Metazoa	136	False	False
O43837	Homo sapiens	Metazoa	385	False	False
O75127	Homo sapiens	Metazoa	700	False	False
P13995	Homo sapiens	Metazoa	350	False	False
P23378	Homo sapiens	Metazoa	1020	False	False
P23434	Homo sapiens	Metazoa	173	False	False
P43304	Homo sapiens	Metazoa	727	False	False
P82930	Homo sapiens	Metazoa	218	False	False
P83111	Homo sapiens	Metazoa	547	False	False
P86397	Homo sapiens	Metazoa	168	False	False
Q14249	Homo sapiens	Metazoa	297	False	False
Q16540	Homo sapiens	Metazoa	153	False	False
Q49AM1	Homo sapiens	Metazoa	385	False	False
Q4G0N4	Homo sapiens	Metazoa	442	False	False
Q4G176	Homo sapiens	Metazoa	576	False	False
Q5EBM0	Homo sapiens	Metazoa	449	False	False
Q5T440	Homo sapiens	Metazoa	356	False	False
Q68CK6	Homo sapiens	Metazoa	577	False	False
Q86U28	Homo sapiens	Metazoa	154	False	False
Q8TB37	Homo sapiens	Metazoa	319	False	False
Q969P6	Homo sapiens	Metazoa	601	False	False
Q96HY7	Homo sapiens	Metazoa	919	False	False
Q96IR7	Homo sapiens	Metazoa	371	False	False
Q99757	Homo sapiens	Metazoa	166	False	False
Q9BRQ6	Homo sapiens	Metazoa	235	False	False
Q9BVL4	Homo sapiens	Metazoa	669	False	False
Q9BW91	Homo sapiens	Metazoa	350	False	False
Q9BX68	Homo sapiens	Metazoa	163	False	False
Q9H0U6	Homo sapiens	Metazoa	180	False	False
Q9H3H1	Homo sapiens	Metazoa	467	False	False
Q9H3J6	Homo sapiens	Metazoa	166	False	False
Q9H9J2	Homo sapiens	Metazoa	332	False	False
Q9H9P8	Homo sapiens	Metazoa	463	False	False
Q9NPB1	Homo sapiens	Metazoa	228	False	False
Q9UKU7	Homo sapiens	Metazoa	415	False	False
Q9Y375	Homo sapiens	Metazoa	327	False	False
Q9Y399	Homo sapiens	Metazoa	296	False	False
Q9Y3B7	Homo sapiens	Metazoa	192	False	False
O00142	Homo sapiens	Metazoa	265	False	False
O15091	Homo sapiens	Metazoa	583	False	False
O75570	Homo sapiens	Metazoa	445	False	False
P24752	Homo sapiens	Metazoa	427	False	False
P31937	Homo sapiens	Metazoa	336	False	False
P46199	Homo sapiens	Metazoa	727	False	False
P49753	Homo sapiens	Metazoa	483	False	False
P82650	Homo sapiens	Metazoa	360	False	False
Q16698	Homo sapiens	Metazoa	335	False	False
Q53R41	Homo sapiens	Metazoa	847	False	False
Q86TS9	Homo sapiens	Metazoa	123	False	False
Q86TW2	Homo sapiens	Metazoa	530	False	False
Q8IVS2	Homo sapiens	Metazoa	390	False	False
Q8N183	Homo sapiens	Metazoa	169	False	False
Q8N573	Homo sapiens	Metazoa	874	False	False
Q92665	Homo sapiens	Metazoa	395	False	False
Q96DV4	Homo sapiens	Metazoa	380	False	False
Q96EY7	Homo sapiens	Metazoa	689	False	False
Q96I23	Homo sapiens	Metazoa	114	False	False
Q96NN9	Homo sapiens	Metazoa	605	False	False
Q96T66	Homo sapiens	Metazoa	252	False	False
Q99551	Homo sapiens	Metazoa	399	False	False
Q9BXH1	Homo sapiens	Metazoa	193	False	False
Q9BYV1	Homo sapiens	Metazoa	514	False	False
Q9H0R6	Homo sapiens	Metazoa	528	False	False
Q9HBH1	Homo sapiens	Metazoa	243	False	False
Q9NQ50	Homo sapiens	Metazoa	206	False	False
Q9NUQ9	Homo sapiens	Metazoa	324	False	False
Q9NWU1	Homo sapiens	Metazoa	459	False	False
Q9NYK5	Homo sapiens	Metazoa	338	False	False
Q9P032	Homo sapiens	Metazoa	175	False	False
Q9P0J1	Homo sapiens	Metazoa	537	False	False
Q9P2R7	Homo sapiens	Metazoa	463	False	False
Q9Y2R9	Homo sapiens	Metazoa	242	False	False
Q9Y6G3	Homo sapiens	Metazoa	142	False	False
O14561	Homo sapiens	Metazoa	156	False	False
O43521	Homo sapiens	Metazoa	198	False	False
O75648	Homo sapiens	Metazoa	421	False	False
O75879	Homo sapiens	Metazoa	557	False	False
P0C7P0	Homo sapiens	Metazoa	127	False	False
P22570	Homo sapiens	Metazoa	491	False	False
P32322	Homo sapiens	Metazoa	319	False	False
P50213	Homo sapiens	Metazoa	366	False	False
P82673	Homo sapiens	Metazoa	323	False	False
P82932	Homo sapiens	Metazoa	125	False	False
Q13794	Homo sapiens	Metazoa	54	False	False
Q53FZ2	Homo sapiens	Metazoa	586	False	False
Q53S33	Homo sapiens	Metazoa	107	False	False
Q68DD2	Homo sapiens	Metazoa	849	False	False
Q6UB28	Homo sapiens	Metazoa	335	False	False
Q6UB35	Homo sapiens	Metazoa	978	False	False
Q7L3V2	Homo sapiens	Metazoa	364	False	False
Q7Z7H8	Homo sapiens	Metazoa	261	False	False
Q8IXM3	Homo sapiens	Metazoa	137	False	False
Q8N4E7	Homo sapiens	Metazoa	242	False	False
Q96EL3	Homo sapiens	Metazoa	112	False	False
Q9BQP7	Homo sapiens	Metazoa	344	False	False
Q9BSH4	Homo sapiens	Metazoa	297	False	False
Q9BYC8	Homo sapiens	Metazoa	188	False	False
Q9HAC7	Homo sapiens	Metazoa	438	False	False
Q9NRX2	Homo sapiens	Metazoa	175	False	False
Q9NWU5	Homo sapiens	Metazoa	206	False	False
Q9NZE8	Homo sapiens	Metazoa	188	False	False
Q9UI32	Homo sapiens	Metazoa	602	False	False
Q9Y3D3	Homo sapiens	Metazoa	137	False	False
Q9Y3E2	Homo sapiens	Metazoa	137	False	False
P35790	Homo sapiens	Metazoa	457	False	False
Q63HN8	Homo sapiens	Metazoa	5207	False	False
