Accession	Organism	Kingdom	Sequence length	SP cleavage	transmembrane_term
P09603	Homo sapiens	Metazoa	554	32	Null
P10153	Homo sapiens	Metazoa	161	27	Null
P10619	Homo sapiens	Metazoa	480	28	Null
P10645	Homo sapiens	Metazoa	457	18	Null
P10646	Homo sapiens	Metazoa	304	28	Null
P10909	Homo sapiens	Metazoa	449	22	Null
P13473	Homo sapiens	Metazoa	410	28	Null
P13671	Homo sapiens	Metazoa	934	21	Null
P13686	Homo sapiens	Metazoa	325	21	Null
P15529	Homo sapiens	Metazoa	392	34	Null
P15941	Homo sapiens	Metazoa	1255	23	Null
P16112	Homo sapiens	Metazoa	2530	16	Null
P16150	Homo sapiens	Metazoa	400	19	Null
P17050	Homo sapiens	Metazoa	411	17	Null
P18510	Homo sapiens	Metazoa	177	25	Null
P19438	Homo sapiens	Metazoa	455	29	Null
P19835	Homo sapiens	Metazoa	753	20	Null
P21128	Homo sapiens	Metazoa	410	18	Null
P21589	Homo sapiens	Metazoa	574	26	Null
P22455	Homo sapiens	Metazoa	802	21	Null
P23083	Homo sapiens	Metazoa	117	19	Null
P28039	Homo sapiens	Metazoa	575	23	Null
P28335	Homo sapiens	Metazoa	458	32	Null
P32881	Homo sapiens	Metazoa	189	23	Null
P35555	Homo sapiens	Metazoa	2871	24	Null
P35858	Homo sapiens	Metazoa	605	27	Null
P36222	Homo sapiens	Metazoa	383	21	Null
P36897	Homo sapiens	Metazoa	503	33	Null
P38571	Homo sapiens	Metazoa	399	27	Null
P40259	Homo sapiens	Metazoa	229	28	Null
P45452	Homo sapiens	Metazoa	471	19	Null
P47710	Homo sapiens	Metazoa	185	15	Null
P49767	Homo sapiens	Metazoa	419	31	Null
P50895	Homo sapiens	Metazoa	628	31	Null
P52798	Homo sapiens	Metazoa	201	25	Null
P55000	Homo sapiens	Metazoa	103	22	Null
P80098	Homo sapiens	Metazoa	99	23	Null
P80188	Homo sapiens	Metazoa	198	20	Null
P81534	Homo sapiens	Metazoa	67	22	Null
P98066	Homo sapiens	Metazoa	277	17	Null
Q01151	Homo sapiens	Metazoa	205	19	Null
Q02083	Homo sapiens	Metazoa	359	28	Null
Q02747	Homo sapiens	Metazoa	115	21	Null
Q03405	Homo sapiens	Metazoa	335	22	Null
Q04756	Homo sapiens	Metazoa	655	35	Null
Q13162	Homo sapiens	Metazoa	271	37	Null
Q14392	Homo sapiens	Metazoa	662	19	Null
Q14520	Homo sapiens	Metazoa	560	23	Null
Q14802	Homo sapiens	Metazoa	87	20	Null
Q15582	Homo sapiens	Metazoa	683	23	Null
Q15848	Homo sapiens	Metazoa	244	18	Null
Q16270	Homo sapiens	Metazoa	282	26	Null
Q16568	Homo sapiens	Metazoa	116	27	Null
Q16627	Homo sapiens	Metazoa	93	19	Null
Q30154	Homo sapiens	Metazoa	266	29	Null
Q5ZPR3	Homo sapiens	Metazoa	534	28	Null
Q6UW88	Homo sapiens	Metazoa	154	22	Null
Q6UX27	Homo sapiens	Metazoa	236	16	Null
Q6UXD5	Homo sapiens	Metazoa	910	27	Null
Q6WN34	Homo sapiens	Metazoa	429	25	Null
Q7L513	Homo sapiens	Metazoa	359	27	Null
Q86WA6	Homo sapiens	Metazoa	291	37	Null
Q86YD3	Homo sapiens	Metazoa	366	26	Null
Q86YL7	Homo sapiens	Metazoa	162	22	Null
Q8IUH8	Homo sapiens	Metazoa	684	21	Null
Q8N126	Homo sapiens	Metazoa	398	24	Null
Q8N474	Homo sapiens	Metazoa	314	31	Null
Q8NBI3	Homo sapiens	Metazoa	349	25	Null
Q92563	Homo sapiens	Metazoa	424	22	Null
Q92956	Homo sapiens	Metazoa	283	38	Null
Q969N2	Homo sapiens	Metazoa	578	21	Null
Q96FE7	Homo sapiens	Metazoa	263	21	Null
Q96PD5	Homo sapiens	Metazoa	576	21	Null
Q99467	Homo sapiens	Metazoa	661	23	Null
Q9BQ51	Homo sapiens	Metazoa	273	19	Null
Q9BYZ8	Homo sapiens	Metazoa	158	22	Null
Q9GZV9	Homo sapiens	Metazoa	251	24	Null
Q9GZX6	Homo sapiens	Metazoa	179	33	Null
Q9H1E1	Homo sapiens	Metazoa	156	28	Null
Q9H293	Homo sapiens	Metazoa	177	32	Null
Q9NWM8	Homo sapiens	Metazoa	211	19	Null
Q9P121	Homo sapiens	Metazoa	344	33	Null
Q9UBP4	Homo sapiens	Metazoa	350	21	Null
Q9UK23	Homo sapiens	Metazoa	515	25	Null
Q9Y2I2	Homo sapiens	Metazoa	539	28	Null
Q9Y5C1	Homo sapiens	Metazoa	460	16	Null
Q9Y5Q6	Homo sapiens	Metazoa	135	22	Null
Q9Y653	Homo sapiens	Metazoa	693	25	Null
Q9Y6C2	Homo sapiens	Metazoa	1016	21	Null
O00175	Homo sapiens	Metazoa	119	26	Null
O00585	Homo sapiens	Metazoa	134	23	Null
O00602	Homo sapiens	Metazoa	326	29	Null
O14625	Homo sapiens	Metazoa	94	21	Null
O14773	Homo sapiens	Metazoa	563	19	Null
O15455	Homo sapiens	Metazoa	904	23	Null
O15467	Homo sapiens	Metazoa	120	23	Null
O60602	Homo sapiens	Metazoa	858	20	Null
O60931	Homo sapiens	Metazoa	367	22	Null
O95711	Homo sapiens	Metazoa	162	20	Null
P00738	Homo sapiens	Metazoa	406	18	Null
P00750	Homo sapiens	Metazoa	562	22	Null
P00751	Homo sapiens	Metazoa	764	25	Null
P01037	Homo sapiens	Metazoa	141	20	Null
P01178	Homo sapiens	Metazoa	125	19	Null
P01242	Homo sapiens	Metazoa	217	26	Null
P01568	Homo sapiens	Metazoa	189	23	Null
P01570	Homo sapiens	Metazoa	189	23	Null
P01593	Homo sapiens	Metazoa	117	22	Null
P01594	Homo sapiens	Metazoa	117	22	Null
P01730	Homo sapiens	Metazoa	458	25	Null
P01903	Homo sapiens	Metazoa	254	25	Null
P02462	Homo sapiens	Metazoa	1669	27	Null
P02654	Homo sapiens	Metazoa	83	26	Null
P02671	Homo sapiens	Metazoa	866	19	Null
P02766	Homo sapiens	Metazoa	147	20	Null
P03971	Homo sapiens	Metazoa	560	24	Null
P04439	Homo sapiens	Metazoa	365	24	Null
P05014	Homo sapiens	Metazoa	189	23	Null
P05067	Homo sapiens	Metazoa	770	17	Null
P05164	Homo sapiens	Metazoa	745	48	Null
P05305	Homo sapiens	Metazoa	212	17	Null
P06312	Homo sapiens	Metazoa	121	20	Null
P07098	Homo sapiens	Metazoa	398	19	Null
P07237	Homo sapiens	Metazoa	508	17	Null
P08174	Homo sapiens	Metazoa	381	34	Null
P08833	Homo sapiens	Metazoa	259	25	Null
P08842	Homo sapiens	Metazoa	583	21	Null
P09237	Homo sapiens	Metazoa	267	17	Null
P0DJD7	Homo sapiens	Metazoa	388	15	Null
P0DML3	Homo sapiens	Metazoa	217	26	Null
P10145	Homo sapiens	Metazoa	99	20	Null
P10745	Homo sapiens	Metazoa	1247	17	Null
P11684	Homo sapiens	Metazoa	91	21	Null
P11912	Homo sapiens	Metazoa	226	32	Null
P12273	Homo sapiens	Metazoa	146	28	Null
P12318	Homo sapiens	Metazoa	317	33	Null
P12821	Homo sapiens	Metazoa	1306	29	Null
P13385	Homo sapiens	Metazoa	188	30	Null
P14384	Homo sapiens	Metazoa	443	17	Null
P14770	Homo sapiens	Metazoa	177	16	Null
P15086	Homo sapiens	Metazoa	417	15	Null
P15289	Homo sapiens	Metazoa	507	18	Null
P15309	Homo sapiens	Metazoa	386	32	Null
P15515	Homo sapiens	Metazoa	57	19	Null
P19801	Homo sapiens	Metazoa	751	19	Null
P19876	Homo sapiens	Metazoa	107	34	Null
P19957	Homo sapiens	Metazoa	117	22	Null
P20160	Homo sapiens	Metazoa	251	19	Null
P20702	Homo sapiens	Metazoa	1163	19	Null
P20774	Homo sapiens	Metazoa	298	20	Null
P21781	Homo sapiens	Metazoa	194	31	Null
P22692	Homo sapiens	Metazoa	258	21	Null
P24855	Homo sapiens	Metazoa	282	22	Null
P26006	Homo sapiens	Metazoa	1051	32	Null
P26842	Homo sapiens	Metazoa	260	19	Null
P31358	Homo sapiens	Metazoa	61	24	Null
P33681	Homo sapiens	Metazoa	288	34	Null
P35590	Homo sapiens	Metazoa	1138	21	Null
P35625	Homo sapiens	Metazoa	211	23	Null
P36980	Homo sapiens	Metazoa	270	18	Null
P41271	Homo sapiens	Metazoa	181	16	Null
P43307	Homo sapiens	Metazoa	286	18	Null
P43652	Homo sapiens	Metazoa	599	21	Null
P48740	Homo sapiens	Metazoa	699	19	Null
P49862	Homo sapiens	Metazoa	253	22	Null
P51654	Homo sapiens	Metazoa	580	24	Null
P55058	Homo sapiens	Metazoa	493	17	Null
P55145	Homo sapiens	Metazoa	182	24	Null
P59665	Homo sapiens	Metazoa	94	19	Null
P80162	Homo sapiens	Metazoa	114	37	Null
Q02809	Homo sapiens	Metazoa	727	18	Null
Q07325	Homo sapiens	Metazoa	125	22	Null
Q13007	Homo sapiens	Metazoa	206	51	Null
Q13421	Homo sapiens	Metazoa	630	36	Null
Q13433	Homo sapiens	Metazoa	755	28	Null
Q13683	Homo sapiens	Metazoa	1181	33	Null
Q14112	Homo sapiens	Metazoa	1375	30	Null
Q15399	Homo sapiens	Metazoa	786	24	Null
Q16674	Homo sapiens	Metazoa	131	24	Null
Q6UWI2	Homo sapiens	Metazoa	310	20	Null
Q6UWK7	Homo sapiens	Metazoa	81	24	Null
Q6UWL6	Homo sapiens	Metazoa	708	20	Null
Q6UWN5	Homo sapiens	Metazoa	251	25	Null
Q6X4U4	Homo sapiens	Metazoa	206	23	Null
Q6ZSA7	Homo sapiens	Metazoa	298	34	Null
Q86Y34	Homo sapiens	Metazoa	549	20	Null
Q8NAC3	Homo sapiens	Metazoa	791	20	Null
Q8NBK3	Homo sapiens	Metazoa	374	33	Null
Q8NCC3	Homo sapiens	Metazoa	412	33	Null
Q8WWA0	Homo sapiens	Metazoa	313	18	Null
Q969J5	Homo sapiens	Metazoa	263	21	Null
Q96DR8	Homo sapiens	Metazoa	90	20	Null
Q96DU3	Homo sapiens	Metazoa	332	21	Null
Q96RQ9	Homo sapiens	Metazoa	567	21	Null
Q99616	Homo sapiens	Metazoa	98	16	Null
Q99944	Homo sapiens	Metazoa	293	25	Null
Q9BXI9	Homo sapiens	Metazoa	278	46	Null
Q9BZW8	Homo sapiens	Metazoa	370	21	Null
Q9GZM7	Homo sapiens	Metazoa	467	21	Null
Q9GZZ8	Homo sapiens	Metazoa	138	19	Null
Q9H1M4	Homo sapiens	Metazoa	99	20	Null
Q9H7M9	Homo sapiens	Metazoa	311	32	Null
Q9NR61	Homo sapiens	Metazoa	685	26	Null
Q9NZV1	Homo sapiens	Metazoa	1036	34	Null
Q9UBT3	Homo sapiens	Metazoa	224	18	Null
Q9UBU3	Homo sapiens	Metazoa	117	23	Null
Q9UK55	Homo sapiens	Metazoa	444	21	Null
Q9Y4X3	Homo sapiens	Metazoa	112	24	Null
Q9Y5H9	Homo sapiens	Metazoa	948	22	Null
O00626	Homo sapiens	Metazoa	93	24	Null
O43852	Homo sapiens	Metazoa	315	19	Null
O75556	Homo sapiens	Metazoa	95	18	Null
O75636	Homo sapiens	Metazoa	299	23	Null
O95813	Homo sapiens	Metazoa	267	17	Null
O95866	Homo sapiens	Metazoa	241	17	Null
O95967	Homo sapiens	Metazoa	443	23	Null
O95994	Homo sapiens	Metazoa	175	20	Null
O95998	Homo sapiens	Metazoa	194	30	Null
P00533	Homo sapiens	Metazoa	1210	24	Null
P00747	Homo sapiens	Metazoa	810	19	Null
P00748	Homo sapiens	Metazoa	615	19	Null
P00749	Homo sapiens	Metazoa	431	20	Null
P00995	Homo sapiens	Metazoa	79	23	Null
P01023	Homo sapiens	Metazoa	1474	23	Null
P01034	Homo sapiens	Metazoa	146	26	Null
P01036	Homo sapiens	Metazoa	141	20	Null
P01189	Homo sapiens	Metazoa	267	26	Null
P01225	Homo sapiens	Metazoa	129	18	Null
P01229	Homo sapiens	Metazoa	141	20	Null
P01236	Homo sapiens	Metazoa	227	28	Null
P01241	Homo sapiens	Metazoa	217	26	Null
P01563	Homo sapiens	Metazoa	188	23	Null
P01567	Homo sapiens	Metazoa	189	23	Null
P01619	Homo sapiens	Metazoa	116	20	Null
P01699	Homo sapiens	Metazoa	117	19	Null
P01700	Homo sapiens	Metazoa	117	19	Null
P01742	Homo sapiens	Metazoa	117	19	Null
P01780	Homo sapiens	Metazoa	117	19	Null
P01814	Homo sapiens	Metazoa	119	19	Null
P01817	Homo sapiens	Metazoa	119	19	Null
P01833	Homo sapiens	Metazoa	764	18	Null
P02647	Homo sapiens	Metazoa	267	18	Null
P02652	Homo sapiens	Metazoa	100	18	Null
P02708	Homo sapiens	Metazoa	457	20	Null
P02724	Homo sapiens	Metazoa	150	19	Null
P02749	Homo sapiens	Metazoa	345	19	Null
P02778	Homo sapiens	Metazoa	98	21	Null
P02790	Homo sapiens	Metazoa	462	23	Null
P03973	Homo sapiens	Metazoa	132	25	Null
P04217	Homo sapiens	Metazoa	495	21	Null
P04280	Homo sapiens	Metazoa	392	16	Null
P05060	Homo sapiens	Metazoa	677	20	Null
P05090	Homo sapiens	Metazoa	189	20	Null
P05155	Homo sapiens	Metazoa	500	22	Null
P05187	Homo sapiens	Metazoa	535	22	Null
P05231	Homo sapiens	Metazoa	212	29	Null
P05543	Homo sapiens	Metazoa	415	20	Null
P06213	Homo sapiens	Metazoa	1382	27	Null
P06681	Homo sapiens	Metazoa	752	20	Null
P06727	Homo sapiens	Metazoa	396	20	Null
P06858	Homo sapiens	Metazoa	475	27	Null
P08236	Homo sapiens	Metazoa	651	22	Null
P08582	Homo sapiens	Metazoa	738	19	Null
P08603	Homo sapiens	Metazoa	1231	18	Null
P08697	Homo sapiens	Metazoa	491	27	Null
P09341	Homo sapiens	Metazoa	107	34	Null
P09619	Homo sapiens	Metazoa	1106	32	Null
P0DJD9	Homo sapiens	Metazoa	388	15	Null
P0DJI8	Homo sapiens	Metazoa	122	18	Null
P10144	Homo sapiens	Metazoa	247	18	Null
P12319	Homo sapiens	Metazoa	257	25	Null
P12724	Homo sapiens	Metazoa	160	27	Null
P13224	Homo sapiens	Metazoa	206	25	Null
P13598	Homo sapiens	Metazoa	275	24	Null
P13612	Homo sapiens	Metazoa	1032	33	Null
P13725	Homo sapiens	Metazoa	252	25	Null
P13727	Homo sapiens	Metazoa	222	16	Null
P14210	Homo sapiens	Metazoa	728	31	Null
P14314	Homo sapiens	Metazoa	528	14	Null
P14780	Homo sapiens	Metazoa	707	19	Null
P15516	Homo sapiens	Metazoa	51	19	Null
P16035	Homo sapiens	Metazoa	220	26	Null
P16619	Homo sapiens	Metazoa	93	23	Null
P17936	Homo sapiens	Metazoa	291	27	Null
P17948	Homo sapiens	Metazoa	1338	26	Null
P20827	Homo sapiens	Metazoa	205	18	Null
P22301	Homo sapiens	Metazoa	178	18	Null
P22362	Homo sapiens	Metazoa	96	23	Null
P23141	Homo sapiens	Metazoa	567	17	Null
P23142	Homo sapiens	Metazoa	703	29	Null
P23284	Homo sapiens	Metazoa	216	33	Null
P23515	Homo sapiens	Metazoa	440	24	Null
P25942	Homo sapiens	Metazoa	277	20	Null
P27797	Homo sapiens	Metazoa	417	17	Null
P28325	Homo sapiens	Metazoa	142	20	Null
P29460	Homo sapiens	Metazoa	328	22	Null
P30040	Homo sapiens	Metazoa	261	32	Null
P35052	Homo sapiens	Metazoa	558	23	Null
P35916	Homo sapiens	Metazoa	1363	24	Null
P40199	Homo sapiens	Metazoa	344	34	Null
P40967	Homo sapiens	Metazoa	661	24	Null
P54107	Homo sapiens	Metazoa	249	21	Null
P54762	Homo sapiens	Metazoa	984	17	Null
P61769	Homo sapiens	Metazoa	119	20	Null
P80370	Homo sapiens	Metazoa	383	23	Null
P80748	Homo sapiens	Metazoa	117	17	Null
P98172	Homo sapiens	Metazoa	346	27	Null
Q02246	Homo sapiens	Metazoa	1040	30	Null
Q08830	Homo sapiens	Metazoa	312	22	Null
Q13478	Homo sapiens	Metazoa	541	18	Null
Q15465	Homo sapiens	Metazoa	462	23	Null
Q15762	Homo sapiens	Metazoa	336	18	Null
Q16790	Homo sapiens	Metazoa	459	37	Null
Q6UWV6	Homo sapiens	Metazoa	458	21	Null
Q6UWY2	Homo sapiens	Metazoa	283	31	Null
Q6UX39	Homo sapiens	Metazoa	209	16	Null
Q6UX46	Homo sapiens	Metazoa	152	24	Null
Q6UXG3	Homo sapiens	Metazoa	332	18	Null
Q6UXH1	Homo sapiens	Metazoa	353	24	Null
Q6UXL0	Homo sapiens	Metazoa	311	29	Null
Q7Z5A7	Homo sapiens	Metazoa	132	43	Null
Q86T13	Homo sapiens	Metazoa	490	21	Null
Q86Y78	Homo sapiens	Metazoa	171	22	Null
Q86YT9	Homo sapiens	Metazoa	394	19	Null
Q8N4F0	Homo sapiens	Metazoa	458	20	Null
Q8N6C8	Homo sapiens	Metazoa	439	23	Null
Q8NBJ9	Homo sapiens	Metazoa	832	18	Null
Q8NBL1	Homo sapiens	Metazoa	392	23	Null
Q8NI17	Homo sapiens	Metazoa	732	19	Null
Q8TCT7	Homo sapiens	Metazoa	592	25	Null
Q8WXF3	Homo sapiens	Metazoa	142	25	Null
Q96HF1	Homo sapiens	Metazoa	295	24	Null
Q96PD4	Homo sapiens	Metazoa	163	30	Null
Q99217	Homo sapiens	Metazoa	191	16	Null
Q99972	Homo sapiens	Metazoa	504	32	Null
Q9BZM5	Homo sapiens	Metazoa	246	25	Null
Q9H3T3	Homo sapiens	Metazoa	888	25	Null
Q9H9K5	Homo sapiens	Metazoa	563	26	Null
Q9HC23	Homo sapiens	Metazoa	129	27	Null
Q9NPF0	Homo sapiens	Metazoa	282	35	Null
Q9NPG1	Homo sapiens	Metazoa	666	22	Null
Q9NR16	Homo sapiens	Metazoa	1453	40	Null
Q9NYY1	Homo sapiens	Metazoa	176	24	Null
Q9UBD3	Homo sapiens	Metazoa	114	21	Null
Q9UIB8	Homo sapiens	Metazoa	345	21	Null
Q9UKY0	Homo sapiens	Metazoa	176	25	Null
Q9Y240	Homo sapiens	Metazoa	323	21	Null
Q9Y5U5	Homo sapiens	Metazoa	241	25	Null
O14791	Homo sapiens	Metazoa	398	27	Null
O14798	Homo sapiens	Metazoa	259	25	Null
O60565	Homo sapiens	Metazoa	184	24	Null
O76076	Homo sapiens	Metazoa	250	23	Null
O95633	Homo sapiens	Metazoa	263	26	Null
P00709	Homo sapiens	Metazoa	142	19	Null
P01008	Homo sapiens	Metazoa	464	32	Null
P01009	Homo sapiens	Metazoa	418	24	Null
P01019	Homo sapiens	Metazoa	476	24	Null
P01033	Homo sapiens	Metazoa	207	23	Null
P01042	Homo sapiens	Metazoa	644	18	Null
P01148	Homo sapiens	Metazoa	92	23	Null
P01222	Homo sapiens	Metazoa	138	20	Null
P01344	Homo sapiens	Metazoa	180	24	Null
P01588	Homo sapiens	Metazoa	193	27	Null
P01768	Homo sapiens	Metazoa	117	19	Null
P01911	Homo sapiens	Metazoa	266	29	Null
P01920	Homo sapiens	Metazoa	261	32	Null
P02656	Homo sapiens	Metazoa	99	20	Null
P02741	Homo sapiens	Metazoa	224	18	Null
P02746	Homo sapiens	Metazoa	253	27	Null
P02751	Homo sapiens	Metazoa	2477	31	Null
P02760	Homo sapiens	Metazoa	352	19	Null
P02763	Homo sapiens	Metazoa	201	18	Null
P02765	Homo sapiens	Metazoa	367	18	Null
P02775	Homo sapiens	Metazoa	128	34	Null
P02787	Homo sapiens	Metazoa	698	19	Null
P02788	Homo sapiens	Metazoa	710	19	Null
P02808	Homo sapiens	Metazoa	62	19	Null
P04004	Homo sapiens	Metazoa	478	19	Null
P04196	Homo sapiens	Metazoa	525	18	Null
P05113	Homo sapiens	Metazoa	134	19	Null
P05408	Homo sapiens	Metazoa	212	26	Null
P07477	Homo sapiens	Metazoa	247	15	Null
P07602	Homo sapiens	Metazoa	524	16	Null
P08069	Homo sapiens	Metazoa	1367	30	Null
P08118	Homo sapiens	Metazoa	114	20	Null
P08514	Homo sapiens	Metazoa	1039	31	Null
P09228	Homo sapiens	Metazoa	141	20	Null
P09871	Homo sapiens	Metazoa	688	15	Null
P09923	Homo sapiens	Metazoa	528	19	Null
P0DJD8	Homo sapiens	Metazoa	388	15	Null
P0DJI9	Homo sapiens	Metazoa	122	18	Null
P10163	Homo sapiens	Metazoa	310	16	Null
P10720	Homo sapiens	Metazoa	104	30	Null
P11021	Homo sapiens	Metazoa	654	18	Null
P11150	Homo sapiens	Metazoa	499	22	Null
P11226	Homo sapiens	Metazoa	248	20	Null
P13987	Homo sapiens	Metazoa	128	25	Null
P14091	Homo sapiens	Metazoa	396	19	Null
P14209	Homo sapiens	Metazoa	185	22	Null
P15018	Homo sapiens	Metazoa	202	22	Null
P15085	Homo sapiens	Metazoa	419	16	Null
P16144	Homo sapiens	Metazoa	1822	27	Null
P16860	Homo sapiens	Metazoa	134	26	Null
P17213	Homo sapiens	Metazoa	487	31	Null
P20062	Homo sapiens	Metazoa	427	18	Null
P20142	Homo sapiens	Metazoa	388	16	Null
P21741	Homo sapiens	Metazoa	143	20	Null
P22748	Homo sapiens	Metazoa	312	18	Null
P24821	Homo sapiens	Metazoa	2201	22	Null
P26010	Homo sapiens	Metazoa	798	19	Null
P28906	Homo sapiens	Metazoa	385	31	Null
P29320	Homo sapiens	Metazoa	983	20	Null
P29459	Homo sapiens	Metazoa	219	22	Null
P30101	Homo sapiens	Metazoa	505	24	Null
P31025	Homo sapiens	Metazoa	176	18	Null
P34096	Homo sapiens	Metazoa	147	28	Null
P37173	Homo sapiens	Metazoa	567	22	Null
P38570	Homo sapiens	Metazoa	1179	18	Null
P43121	Homo sapiens	Metazoa	646	23	Null
P43626	Homo sapiens	Metazoa	348	21	Null
P48307	Homo sapiens	Metazoa	235	22	Null
P48745	Homo sapiens	Metazoa	357	31	Null
P49755	Homo sapiens	Metazoa	219	31	Null
P49763	Homo sapiens	Metazoa	221	18	Null
P51460	Homo sapiens	Metazoa	131	20	Null
P54803	Homo sapiens	Metazoa	685	42	Null
P55774	Homo sapiens	Metazoa	89	20	Null
P56202	Homo sapiens	Metazoa	376	21	Null
P60568	Homo sapiens	Metazoa	153	20	Null
P61626	Homo sapiens	Metazoa	148	18	Null
P61916	Homo sapiens	Metazoa	151	19	Null
P78556	Homo sapiens	Metazoa	96	26	Null
Q01638	Homo sapiens	Metazoa	556	18	Null
Q07092	Homo sapiens	Metazoa	1604	21	Null
Q07654	Homo sapiens	Metazoa	80	21	Null
Q08334	Homo sapiens	Metazoa	325	19	Null
Q14002	Homo sapiens	Metazoa	265	35	Null
Q14624	Homo sapiens	Metazoa	930	28	Null
Q15084	Homo sapiens	Metazoa	440	19	Null
Q16602	Homo sapiens	Metazoa	461	22	Null
Q5UCC4	Homo sapiens	Metazoa	262	25	Null
Q6UW56	Homo sapiens	Metazoa	229	30	Null
Q6UXB8	Homo sapiens	Metazoa	463	27	Null
Q8IVL8	Homo sapiens	Metazoa	374	20	Null
Q8NBP7	Homo sapiens	Metazoa	692	30	Null
Q8NC67	Homo sapiens	Metazoa	525	22	Null
Q8NHP8	Homo sapiens	Metazoa	589	41	Null
Q8TD06	Homo sapiens	Metazoa	166	21	Null
Q8TDQ1	Homo sapiens	Metazoa	290	19	Null
Q8WUJ3	Homo sapiens	Metazoa	1361	30	Null
Q92583	Homo sapiens	Metazoa	94	23	Null
Q92765	Homo sapiens	Metazoa	325	32	Null
Q95460	Homo sapiens	Metazoa	341	22	Null
Q969P0	Homo sapiens	Metazoa	613	27	Null
Q969Z4	Homo sapiens	Metazoa	430	25	Null
Q96AP7	Homo sapiens	Metazoa	390	29	Null
Q96BF3	Homo sapiens	Metazoa	282	22	Null
Q96LA5	Homo sapiens	Metazoa	508	19	Null
Q99435	Homo sapiens	Metazoa	816	21	Null
Q99935	Homo sapiens	Metazoa	248	21	Null
Q99969	Homo sapiens	Metazoa	163	20	Null
Q9BQB4	Homo sapiens	Metazoa	213	23	Null
Q9BWV1	Homo sapiens	Metazoa	1114	30	Null
Q9BX74	Homo sapiens	Metazoa	207	37	Null
Q9BXJ3	Homo sapiens	Metazoa	329	16	Null
Q9H5V8	Homo sapiens	Metazoa	836	29	Null
Q9NPR2	Homo sapiens	Metazoa	837	43	Null
Q9NQ25	Homo sapiens	Metazoa	335	22	Null
Q9NRM6	Homo sapiens	Metazoa	502	17	Null
Q9NS68	Homo sapiens	Metazoa	423	29	Null
Q9NSA1	Homo sapiens	Metazoa	209	28	Null
Q9NZ53	Homo sapiens	Metazoa	605	32	Null
Q9P0V8	Homo sapiens	Metazoa	285	22	Null
Q9P0W0	Homo sapiens	Metazoa	207	27	Null
Q9P246	Homo sapiens	Metazoa	746	14	Null
Q9P2K2	Homo sapiens	Metazoa	825	27	Null
Q9UBN6	Homo sapiens	Metazoa	386	55	Null
Q9UNE0	Homo sapiens	Metazoa	448	26	Null
Q9Y624	Homo sapiens	Metazoa	299	27	Null
O00206	Homo sapiens	Metazoa	839	23	Null
O14786	Homo sapiens	Metazoa	923	21	Null
O15197	Homo sapiens	Metazoa	1021	31	Null
O43278	Homo sapiens	Metazoa	529	35	Null
O43291	Homo sapiens	Metazoa	252	27	Null
