Accession	Organism	Kingdom	Sequence length	SP cleavage
P21128	410	1	18	Homo sapiens	Metazoa
P21589	574	1	26	Homo sapiens	Metazoa
P22455	802	1	21	Homo sapiens	Metazoa
P23083	117	1	19	Homo sapiens	Metazoa
P28039	575	1	23	Homo sapiens	Metazoa
P28335	458	1	32	Homo sapiens	Metazoa
P32881	189	1	23	Homo sapiens	Metazoa
P35555	2871	1	24	Homo sapiens	Metazoa
P35858	605	1	27	Homo sapiens	Metazoa
P36222	383	1	21	Homo sapiens	Metazoa
P36897	503	1	33	Homo sapiens	Metazoa
P38571	399	1	27	Homo sapiens	Metazoa
P40259	229	1	28	Homo sapiens	Metazoa
P45452	471	1	19	Homo sapiens	Metazoa
P47710	185	1	15	Homo sapiens	Metazoa
P49767	419	1	31	Homo sapiens	Metazoa
P50895	628	1	31	Homo sapiens	Metazoa
P52798	201	1	25	Homo sapiens	Metazoa
P55000	103	1	22	Homo sapiens	Metazoa
P80098	99	1	23	Homo sapiens	Metazoa
P80188	198	1	20	Homo sapiens	Metazoa
P81534	67	1	22	Homo sapiens	Metazoa
P98066	277	1	17	Homo sapiens	Metazoa
Q01151	205	1	19	Homo sapiens	Metazoa
Q02083	359	1	28	Homo sapiens	Metazoa
Q02747	115	1	21	Homo sapiens	Metazoa
Q03405	335	1	22	Homo sapiens	Metazoa
Q04756	655	1	35	Homo sapiens	Metazoa
Q13162	271	1	37	Homo sapiens	Metazoa
Q14392	662	1	19	Homo sapiens	Metazoa
Q14520	560	1	23	Homo sapiens	Metazoa
Q14802	87	1	20	Homo sapiens	Metazoa
Q15582	683	1	23	Homo sapiens	Metazoa
Q15848	244	1	18	Homo sapiens	Metazoa
Q16270	282	1	26	Homo sapiens	Metazoa
Q16568	116	1	27	Homo sapiens	Metazoa
Q16627	93	1	19	Homo sapiens	Metazoa
Q30154	266	1	29	Homo sapiens	Metazoa
Q5ZPR3	534	1	28	Homo sapiens	Metazoa
Q6UW88	154	1	22	Homo sapiens	Metazoa
Q6UX27	236	1	16	Homo sapiens	Metazoa
Q6UXD5	910	1	27	Homo sapiens	Metazoa
Q6WN34	429	1	25	Homo sapiens	Metazoa
Q7L513	359	1	27	Homo sapiens	Metazoa
Q86WA6	291	1	37	Homo sapiens	Metazoa
Q86YD3	366	1	26	Homo sapiens	Metazoa
Q86YL7	162	1	22	Homo sapiens	Metazoa
Q8IUH8	684	1	21	Homo sapiens	Metazoa
Q8N126	398	1	24	Homo sapiens	Metazoa
Q8N474	314	1	31	Homo sapiens	Metazoa
Q8NBI3	349	1	25	Homo sapiens	Metazoa
Q92563	424	1	22	Homo sapiens	Metazoa
Q92956	283	1	38	Homo sapiens	Metazoa
Q969N2	578	1	21	Homo sapiens	Metazoa
Q96FE7	263	1	21	Homo sapiens	Metazoa
Q96PD5	576	1	21	Homo sapiens	Metazoa
Q99467	661	1	23	Homo sapiens	Metazoa
Q9BQ51	273	1	19	Homo sapiens	Metazoa
Q9BYZ8	158	1	22	Homo sapiens	Metazoa
Q9GZV9	251	1	24	Homo sapiens	Metazoa
Q9GZX6	179	1	33	Homo sapiens	Metazoa
Q9H1E1	156	1	28	Homo sapiens	Metazoa
Q9H293	177	1	32	Homo sapiens	Metazoa
Q9NWM8	211	1	19	Homo sapiens	Metazoa
Q9P121	344	1	33	Homo sapiens	Metazoa
Q9UBP4	350	1	21	Homo sapiens	Metazoa
Q9UK23	515	1	25	Homo sapiens	Metazoa
Q9Y2I2	539	1	28	Homo sapiens	Metazoa
Q9Y5C1	460	1	16	Homo sapiens	Metazoa
Q9Y5Q6	135	1	22	Homo sapiens	Metazoa
Q9Y653	693	1	25	Homo sapiens	Metazoa
Q9Y6C2	1016	1	21	Homo sapiens	Metazoa
O00175	119	1	26	Homo sapiens	Metazoa
O00585	134	1	23	Homo sapiens	Metazoa
O00602	326	1	29	Homo sapiens	Metazoa
O14625	94	1	21	Homo sapiens	Metazoa
O14773	563	1	19	Homo sapiens	Metazoa
O15455	904	1	23	Homo sapiens	Metazoa
O15467	120	1	23	Homo sapiens	Metazoa
O60602	858	1	20	Homo sapiens	Metazoa
O60931	367	1	22	Homo sapiens	Metazoa
O95711	162	1	20	Homo sapiens	Metazoa
P00738	406	1	18	Homo sapiens	Metazoa
P00750	562	1	22	Homo sapiens	Metazoa
P00751	764	1	25	Homo sapiens	Metazoa
P01037	141	1	20	Homo sapiens	Metazoa
P01178	125	1	19	Homo sapiens	Metazoa
P01242	217	1	26	Homo sapiens	Metazoa
P01568	189	1	23	Homo sapiens	Metazoa
P01570	189	1	23	Homo sapiens	Metazoa
P01593	117	1	22	Homo sapiens	Metazoa
P01594	117	1	22	Homo sapiens	Metazoa
P01730	458	1	25	Homo sapiens	Metazoa
P01903	254	1	25	Homo sapiens	Metazoa
P02462	1669	1	27	Homo sapiens	Metazoa
P02654	83	1	26	Homo sapiens	Metazoa
P02671	866	1	19	Homo sapiens	Metazoa
P02766	147	1	20	Homo sapiens	Metazoa
P03971	560	1	24	Homo sapiens	Metazoa
P04439	365	1	24	Homo sapiens	Metazoa
P05014	189	1	23	Homo sapiens	Metazoa
P05067	770	1	17	Homo sapiens	Metazoa
P05164	745	1	48	Homo sapiens	Metazoa
P05305	212	1	17	Homo sapiens	Metazoa
P06312	121	1	20	Homo sapiens	Metazoa
P07098	398	1	19	Homo sapiens	Metazoa
P07237	508	1	17	Homo sapiens	Metazoa
P08174	381	1	34	Homo sapiens	Metazoa
P08833	259	1	25	Homo sapiens	Metazoa
P08842	583	1	21	Homo sapiens	Metazoa
P09237	267	1	17	Homo sapiens	Metazoa
P0DJD7	388	1	15	Homo sapiens	Metazoa
P0DML3	217	1	26	Homo sapiens	Metazoa
P10145	99	1	20	Homo sapiens	Metazoa
P10745	1247	1	17	Homo sapiens	Metazoa
P11684	91	1	21	Homo sapiens	Metazoa
P11912	226	1	32	Homo sapiens	Metazoa
P12273	146	1	28	Homo sapiens	Metazoa
P12318	317	1	33	Homo sapiens	Metazoa
P12821	1306	1	29	Homo sapiens	Metazoa
P13385	188	1	30	Homo sapiens	Metazoa
P14384	443	1	17	Homo sapiens	Metazoa
P14770	177	1	16	Homo sapiens	Metazoa
P15086	417	1	15	Homo sapiens	Metazoa
P15289	507	1	18	Homo sapiens	Metazoa
P15309	386	1	32	Homo sapiens	Metazoa
P15515	57	1	19	Homo sapiens	Metazoa
P19801	751	1	19	Homo sapiens	Metazoa
P19876	107	1	34	Homo sapiens	Metazoa
P19957	117	1	22	Homo sapiens	Metazoa
P20160	251	1	19	Homo sapiens	Metazoa
P20702	1163	1	19	Homo sapiens	Metazoa
P20774	298	1	20	Homo sapiens	Metazoa
P21781	194	1	31	Homo sapiens	Metazoa
P22692	258	1	21	Homo sapiens	Metazoa
P24855	282	1	22	Homo sapiens	Metazoa
P26006	1051	1	32	Homo sapiens	Metazoa
P26842	260	1	19	Homo sapiens	Metazoa
P31358	61	1	24	Homo sapiens	Metazoa
P33681	288	1	34	Homo sapiens	Metazoa
P35590	1138	1	21	Homo sapiens	Metazoa
P35625	211	1	23	Homo sapiens	Metazoa
P36980	270	1	18	Homo sapiens	Metazoa
P41271	181	1	16	Homo sapiens	Metazoa
P43307	286	1	18	Homo sapiens	Metazoa
P43652	599	1	21	Homo sapiens	Metazoa
P48740	699	1	19	Homo sapiens	Metazoa
P49862	253	1	22	Homo sapiens	Metazoa
P51654	580	1	24	Homo sapiens	Metazoa
P55058	493	1	17	Homo sapiens	Metazoa
P55145	182	1	24	Homo sapiens	Metazoa
P59665	94	1	19	Homo sapiens	Metazoa
P80162	114	1	37	Homo sapiens	Metazoa
Q02809	727	1	18	Homo sapiens	Metazoa
Q07325	125	1	22	Homo sapiens	Metazoa
Q13007	206	1	51	Homo sapiens	Metazoa
Q13421	630	1	36	Homo sapiens	Metazoa
Q13433	755	1	28	Homo sapiens	Metazoa
Q13683	1181	1	33	Homo sapiens	Metazoa
Q14112	1375	1	30	Homo sapiens	Metazoa
Q15399	786	1	24	Homo sapiens	Metazoa
Q16674	131	1	24	Homo sapiens	Metazoa
Q6UWI2	310	1	20	Homo sapiens	Metazoa
Q6UWK7	81	1	24	Homo sapiens	Metazoa
Q6UWL6	708	1	20	Homo sapiens	Metazoa
Q6UWN5	251	1	25	Homo sapiens	Metazoa
Q6X4U4	206	1	23	Homo sapiens	Metazoa
Q6ZSA7	298	1	34	Homo sapiens	Metazoa
Q86Y34	549	1	20	Homo sapiens	Metazoa
Q8NAC3	791	1	20	Homo sapiens	Metazoa
Q8NBK3	374	1	33	Homo sapiens	Metazoa
Q8NCC3	412	1	33	Homo sapiens	Metazoa
Q8WWA0	313	1	18	Homo sapiens	Metazoa
Q969J5	263	1	21	Homo sapiens	Metazoa
Q96DR8	90	1	20	Homo sapiens	Metazoa
Q96DU3	332	1	21	Homo sapiens	Metazoa
Q96RQ9	567	1	21	Homo sapiens	Metazoa
Q99616	98	1	16	Homo sapiens	Metazoa
Q99944	293	1	25	Homo sapiens	Metazoa
Q9BXI9	278	1	46	Homo sapiens	Metazoa
Q9BZW8	370	1	21	Homo sapiens	Metazoa
Q9GZM7	467	1	21	Homo sapiens	Metazoa
Q9GZZ8	138	1	19	Homo sapiens	Metazoa
Q9H1M4	99	1	20	Homo sapiens	Metazoa
Q9H7M9	311	1	32	Homo sapiens	Metazoa
Q9NR61	685	1	26	Homo sapiens	Metazoa
Q9NZV1	1036	1	34	Homo sapiens	Metazoa
Q9UBT3	224	1	18	Homo sapiens	Metazoa
Q9UBU3	117	1	23	Homo sapiens	Metazoa
Q9UK55	444	1	21	Homo sapiens	Metazoa
Q9Y4X3	112	1	24	Homo sapiens	Metazoa
Q9Y5H9	948	1	22	Homo sapiens	Metazoa
O00626	93	1	24	Homo sapiens	Metazoa
O43852	315	1	19	Homo sapiens	Metazoa
O75556	95	1	18	Homo sapiens	Metazoa
O75636	299	1	23	Homo sapiens	Metazoa
O95813	267	1	17	Homo sapiens	Metazoa
O95866	241	1	17	Homo sapiens	Metazoa
O95967	443	1	23	Homo sapiens	Metazoa
O95994	175	1	20	Homo sapiens	Metazoa
O95998	194	1	30	Homo sapiens	Metazoa
P00533	1210	1	24	Homo sapiens	Metazoa
P00747	810	1	19	Homo sapiens	Metazoa
P00748	615	1	19	Homo sapiens	Metazoa
P00749	431	1	20	Homo sapiens	Metazoa
P00995	79	1	23	Homo sapiens	Metazoa
P01023	1474	1	23	Homo sapiens	Metazoa
P01034	146	1	26	Homo sapiens	Metazoa
P01036	141	1	20	Homo sapiens	Metazoa
P01189	267	1	26	Homo sapiens	Metazoa
P01225	129	1	18	Homo sapiens	Metazoa
P01229	141	1	20	Homo sapiens	Metazoa
P01236	227	1	28	Homo sapiens	Metazoa
P01241	217	1	26	Homo sapiens	Metazoa
P01563	188	1	23	Homo sapiens	Metazoa
P01567	189	1	23	Homo sapiens	Metazoa
P01619	116	1	20	Homo sapiens	Metazoa
P01699	117	1	19	Homo sapiens	Metazoa
P01700	117	1	19	Homo sapiens	Metazoa
P01742	117	1	19	Homo sapiens	Metazoa
P01780	117	1	19	Homo sapiens	Metazoa
P01814	119	1	19	Homo sapiens	Metazoa
P01817	119	1	19	Homo sapiens	Metazoa
P01833	764	1	18	Homo sapiens	Metazoa
P02647	267	1	18	Homo sapiens	Metazoa
P02652	100	1	18	Homo sapiens	Metazoa
P02708	457	1	20	Homo sapiens	Metazoa
P02724	150	1	19	Homo sapiens	Metazoa
P02749	345	1	19	Homo sapiens	Metazoa
P02778	98	1	21	Homo sapiens	Metazoa
P02790	462	1	23	Homo sapiens	Metazoa
P03973	132	1	25	Homo sapiens	Metazoa
P04217	495	1	21	Homo sapiens	Metazoa
P04280	392	1	16	Homo sapiens	Metazoa
P05060	677	1	20	Homo sapiens	Metazoa
P05090	189	1	20	Homo sapiens	Metazoa
P05155	500	1	22	Homo sapiens	Metazoa
P05187	535	1	22	Homo sapiens	Metazoa
P05231	212	1	29	Homo sapiens	Metazoa
P05543	415	1	20	Homo sapiens	Metazoa
P06213	1382	1	27	Homo sapiens	Metazoa
P06681	752	1	20	Homo sapiens	Metazoa
P06727	396	1	20	Homo sapiens	Metazoa
P06858	475	1	27	Homo sapiens	Metazoa
P08236	651	1	22	Homo sapiens	Metazoa
P08582	738	1	19	Homo sapiens	Metazoa
P08603	1231	1	18	Homo sapiens	Metazoa
P08697	491	1	27	Homo sapiens	Metazoa
P09341	107	1	34	Homo sapiens	Metazoa
P09619	1106	1	32	Homo sapiens	Metazoa
P0DJD9	388	1	15	Homo sapiens	Metazoa
P0DJI8	122	1	18	Homo sapiens	Metazoa
P10144	247	1	18	Homo sapiens	Metazoa
P12319	257	1	25	Homo sapiens	Metazoa
P12724	160	1	27	Homo sapiens	Metazoa
P13224	206	1	25	Homo sapiens	Metazoa
P13598	275	1	24	Homo sapiens	Metazoa
P13612	1032	1	33	Homo sapiens	Metazoa
P13725	252	1	25	Homo sapiens	Metazoa
P13727	222	1	16	Homo sapiens	Metazoa
P14210	728	1	31	Homo sapiens	Metazoa
P14314	528	1	14	Homo sapiens	Metazoa
P14780	707	1	19	Homo sapiens	Metazoa
P15516	51	1	19	Homo sapiens	Metazoa
P16035	220	1	26	Homo sapiens	Metazoa
P16619	93	1	23	Homo sapiens	Metazoa
P17936	291	1	27	Homo sapiens	Metazoa
P17948	1338	1	26	Homo sapiens	Metazoa
P20827	205	1	18	Homo sapiens	Metazoa
P22301	178	1	18	Homo sapiens	Metazoa
P22362	96	1	23	Homo sapiens	Metazoa
P23141	567	1	17	Homo sapiens	Metazoa
P23142	703	1	29	Homo sapiens	Metazoa
P23284	216	1	33	Homo sapiens	Metazoa
P23515	440	1	24	Homo sapiens	Metazoa
P25942	277	1	20	Homo sapiens	Metazoa
P27797	417	1	17	Homo sapiens	Metazoa
P28325	142	1	20	Homo sapiens	Metazoa
P29460	328	1	22	Homo sapiens	Metazoa
P30040	261	1	32	Homo sapiens	Metazoa
P35052	558	1	23	Homo sapiens	Metazoa
P35916	1363	1	24	Homo sapiens	Metazoa
P40199	344	1	34	Homo sapiens	Metazoa
P40967	661	1	24	Homo sapiens	Metazoa
P54107	249	1	21	Homo sapiens	Metazoa
P54762	984	1	17	Homo sapiens	Metazoa
P61769	119	1	20	Homo sapiens	Metazoa
P80370	383	1	23	Homo sapiens	Metazoa
P80748	117	1	17	Homo sapiens	Metazoa
P98172	346	1	27	Homo sapiens	Metazoa
Q02246	1040	1	30	Homo sapiens	Metazoa
Q08830	312	1	22	Homo sapiens	Metazoa
Q13478	541	1	18	Homo sapiens	Metazoa
Q15465	462	1	23	Homo sapiens	Metazoa
Q15762	336	1	18	Homo sapiens	Metazoa
Q16790	459	1	37	Homo sapiens	Metazoa
Q6UWV6	458	1	21	Homo sapiens	Metazoa
Q6UWY2	283	1	31	Homo sapiens	Metazoa
Q6UX39	209	1	16	Homo sapiens	Metazoa
Q6UX46	152	1	24	Homo sapiens	Metazoa
Q6UXG3	332	1	18	Homo sapiens	Metazoa
Q6UXH1	353	1	24	Homo sapiens	Metazoa
Q6UXL0	311	1	29	Homo sapiens	Metazoa
Q7Z5A7	132	1	43	Homo sapiens	Metazoa
Q86T13	490	1	21	Homo sapiens	Metazoa
Q86Y78	171	1	22	Homo sapiens	Metazoa
Q86YT9	394	1	19	Homo sapiens	Metazoa
Q8N4F0	458	1	20	Homo sapiens	Metazoa
Q8N6C8	439	1	23	Homo sapiens	Metazoa
Q8NBJ9	832	1	18	Homo sapiens	Metazoa
Q8NBL1	392	1	23	Homo sapiens	Metazoa
Q8NI17	732	1	19	Homo sapiens	Metazoa
Q8TCT7	592	1	25	Homo sapiens	Metazoa
Q8WXF3	142	1	25	Homo sapiens	Metazoa
Q96HF1	295	1	24	Homo sapiens	Metazoa
Q96PD4	163	1	30	Homo sapiens	Metazoa
Q99217	191	1	16	Homo sapiens	Metazoa
Q99972	504	1	32	Homo sapiens	Metazoa
Q9BZM5	246	1	25	Homo sapiens	Metazoa
Q9H3T3	888	1	25	Homo sapiens	Metazoa
Q9H9K5	563	1	26	Homo sapiens	Metazoa
Q9HC23	129	1	27	Homo sapiens	Metazoa
Q9NPF0	282	1	35	Homo sapiens	Metazoa
Q9NPG1	666	1	22	Homo sapiens	Metazoa
Q9NR16	1453	1	40	Homo sapiens	Metazoa
Q9NYY1	176	1	24	Homo sapiens	Metazoa
Q9UBD3	114	1	21	Homo sapiens	Metazoa
Q9UIB8	345	1	21	Homo sapiens	Metazoa
Q9UKY0	176	1	25	Homo sapiens	Metazoa
Q9Y240	323	1	21	Homo sapiens	Metazoa
Q9Y5U5	241	1	25	Homo sapiens	Metazoa
O14791	398	1	27	Homo sapiens	Metazoa
O14798	259	1	25	Homo sapiens	Metazoa
O60565	184	1	24	Homo sapiens	Metazoa
O76076	250	1	23	Homo sapiens	Metazoa
O95633	263	1	26	Homo sapiens	Metazoa
P00709	142	1	19	Homo sapiens	Metazoa
P01008	464	1	32	Homo sapiens	Metazoa
P01009	418	1	24	Homo sapiens	Metazoa
P01019	476	1	24	Homo sapiens	Metazoa
P01033	207	1	23	Homo sapiens	Metazoa
P01042	644	1	18	Homo sapiens	Metazoa
P01148	92	1	23	Homo sapiens	Metazoa
P01222	138	1	20	Homo sapiens	Metazoa
P01344	180	1	24	Homo sapiens	Metazoa
P01588	193	1	27	Homo sapiens	Metazoa
P01768	117	1	19	Homo sapiens	Metazoa
P01911	266	1	29	Homo sapiens	Metazoa
P01920	261	1	32	Homo sapiens	Metazoa
P02656	99	1	20	Homo sapiens	Metazoa
P02741	224	1	18	Homo sapiens	Metazoa
P02746	253	1	27	Homo sapiens	Metazoa
P02751	2477	1	31	Homo sapiens	Metazoa
P02760	352	1	19	Homo sapiens	Metazoa
P02763	201	1	18	Homo sapiens	Metazoa
P02765	367	1	18	Homo sapiens	Metazoa
P02775	128	1	34	Homo sapiens	Metazoa
P02787	698	1	19	Homo sapiens	Metazoa
P02788	710	1	19	Homo sapiens	Metazoa
P02808	62	1	19	Homo sapiens	Metazoa
P04004	478	1	19	Homo sapiens	Metazoa
P04196	525	1	18	Homo sapiens	Metazoa
P05113	134	1	19	Homo sapiens	Metazoa
P05408	212	1	26	Homo sapiens	Metazoa
P07477	247	1	15	Homo sapiens	Metazoa
P07602	524	1	16	Homo sapiens	Metazoa
P08069	1367	1	30	Homo sapiens	Metazoa
P08118	114	1	20	Homo sapiens	Metazoa
P08514	1039	1	31	Homo sapiens	Metazoa
P09228	141	1	20	Homo sapiens	Metazoa
P09871	688	1	15	Homo sapiens	Metazoa
P09923	528	1	19	Homo sapiens	Metazoa
P0DJD8	388	1	15	Homo sapiens	Metazoa
P0DJI9	122	1	18	Homo sapiens	Metazoa
P10163	310	1	16	Homo sapiens	Metazoa
P10720	104	1	30	Homo sapiens	Metazoa
P11021	654	1	18	Homo sapiens	Metazoa
P11150	499	1	22	Homo sapiens	Metazoa
P11226	248	1	20	Homo sapiens	Metazoa
P13987	128	1	25	Homo sapiens	Metazoa
P14091	396	1	19	Homo sapiens	Metazoa
P14209	185	1	22	Homo sapiens	Metazoa
P15018	202	1	22	Homo sapiens	Metazoa
P15085	419	1	16	Homo sapiens	Metazoa
P16144	1822	1	27	Homo sapiens	Metazoa
P16860	134	1	26	Homo sapiens	Metazoa
P17213	487	1	31	Homo sapiens	Metazoa
P20062	427	1	18	Homo sapiens	Metazoa
P20142	388	1	16	Homo sapiens	Metazoa
P21741	143	1	20	Homo sapiens	Metazoa
P22748	312	1	18	Homo sapiens	Metazoa
P24821	2201	1	22	Homo sapiens	Metazoa
P26010	798	1	19	Homo sapiens	Metazoa
P28906	385	1	31	Homo sapiens	Metazoa
P29320	983	1	20	Homo sapiens	Metazoa
P29459	219	1	22	Homo sapiens	Metazoa
P30101	505	1	24	Homo sapiens	Metazoa
P31025	176	1	18	Homo sapiens	Metazoa
P34096	147	1	28	Homo sapiens	Metazoa
P37173	567	1	22	Homo sapiens	Metazoa
P38570	1179	1	18	Homo sapiens	Metazoa
P43121	646	1	23	Homo sapiens	Metazoa
P43626	348	1	21	Homo sapiens	Metazoa
P48307	235	1	22	Homo sapiens	Metazoa
P48745	357	1	31	Homo sapiens	Metazoa
P49755	219	1	31	Homo sapiens	Metazoa
P49763	221	1	18	Homo sapiens	Metazoa
P51460	131	1	20	Homo sapiens	Metazoa
P54803	685	1	42	Homo sapiens	Metazoa
P55774	89	1	20	Homo sapiens	Metazoa
P56202	376	1	21	Homo sapiens	Metazoa
P60568	153	1	20	Homo sapiens	Metazoa
P61626	148	1	18	Homo sapiens	Metazoa
P61916	151	1	19	Homo sapiens	Metazoa
P78556	96	1	26	Homo sapiens	Metazoa
Q01638	556	1	18	Homo sapiens	Metazoa
Q07092	1604	1	21	Homo sapiens	Metazoa
Q07654	80	1	21	Homo sapiens	Metazoa
Q08334	325	1	19	Homo sapiens	Metazoa
Q14002	265	1	35	Homo sapiens	Metazoa
Q14624	930	1	28	Homo sapiens	Metazoa
Q15084	440	1	19	Homo sapiens	Metazoa
Q16602	461	1	22	Homo sapiens	Metazoa
Q5UCC4	262	1	25	Homo sapiens	Metazoa
Q6UW56	229	1	30	Homo sapiens	Metazoa
Q6UXB8	463	1	27	Homo sapiens	Metazoa
Q8IVL8	374	1	20	Homo sapiens	Metazoa
Q8NBP7	692	1	30	Homo sapiens	Metazoa
Q8NC67	525	1	22	Homo sapiens	Metazoa
Q8NHP8	589	1	41	Homo sapiens	Metazoa
Q8TD06	166	1	21	Homo sapiens	Metazoa
Q8TDQ1	290	1	19	Homo sapiens	Metazoa
Q8WUJ3	1361	1	30	Homo sapiens	Metazoa
Q92583	94	1	23	Homo sapiens	Metazoa
Q92765	325	1	32	Homo sapiens	Metazoa
Q95460	341	1	22	Homo sapiens	Metazoa
Q969P0	613	1	27	Homo sapiens	Metazoa
Q969Z4	430	1	25	Homo sapiens	Metazoa
Q96AP7	390	1	29	Homo sapiens	Metazoa
Q96BF3	282	1	22	Homo sapiens	Metazoa
Q96LA5	508	1	19	Homo sapiens	Metazoa
Q99435	816	1	21	Homo sapiens	Metazoa
Q99935	248	1	21	Homo sapiens	Metazoa
Q99969	163	1	20	Homo sapiens	Metazoa
Q9BQB4	213	1	23	Homo sapiens	Metazoa
Q9BWV1	1114	1	30	Homo sapiens	Metazoa
Q9BX74	207	1	37	Homo sapiens	Metazoa
Q9BXJ3	329	1	16	Homo sapiens	Metazoa
Q9H5V8	836	1	29	Homo sapiens	Metazoa
Q9NPR2	837	1	43	Homo sapiens	Metazoa
Q9NQ25	335	1	22	Homo sapiens	Metazoa
Q9NRM6	502	1	17	Homo sapiens	Metazoa
Q9NS68	423	1	29	Homo sapiens	Metazoa
Q9NSA1	209	1	28	Homo sapiens	Metazoa
Q9NZ53	605	1	32	Homo sapiens	Metazoa
Q9P0V8	285	1	22	Homo sapiens	Metazoa
Q9P0W0	207	1	27	Homo sapiens	Metazoa
Q9P246	746	1	14	Homo sapiens	Metazoa
Q9P2K2	825	1	27	Homo sapiens	Metazoa
Q9UBN6	386	1	55	Homo sapiens	Metazoa
Q9UNE0	448	1	26	Homo sapiens	Metazoa
Q9Y624	299	1	27	Homo sapiens	Metazoa
O00206	839	1	23	Homo sapiens	Metazoa
O14786	923	1	21	Homo sapiens	Metazoa
O15197	1021	1	31	Homo sapiens	Metazoa
O43278	529	1	35	Homo sapiens	Metazoa
O43291	252	1	27	Homo sapiens	Metazoa
O60609	400	1	31	Homo sapiens	Metazoa
O60844	167	1	16	Homo sapiens	Metazoa
O75462	422	1	37	Homo sapiens	Metazoa
O94907	266	1	31	Homo sapiens	Metazoa
O95407	300	1	29	Homo sapiens	Metazoa
O95715	111	1	34	Homo sapiens	Metazoa
O95968	90	1	21	Homo sapiens	Metazoa
P00450	1065	1	19	Homo sapiens	Metazoa
P00736	705	1	17	Homo sapiens	Metazoa
P00797	406	1	23	Homo sapiens	Metazoa
P01024	1663	1	22	Homo sapiens	Metazoa
P01137	390	1	29	Homo sapiens	Metazoa
P01215	116	1	24	Homo sapiens	Metazoa
P01303	97	1	28	Homo sapiens	Metazoa
P01350	101	1	21	Homo sapiens	Metazoa
P01562	189	1	23	Homo sapiens	Metazoa
P01591	159	1	22	Homo sapiens	Metazoa
P01602	117	1	22	Homo sapiens	Metazoa
P01701	117	1	19	Homo sapiens	Metazoa
P01704	120	1	19	Homo sapiens	Metazoa
P01705	113	1	19	Homo sapiens	Metazoa
P01706	119	1	19	Homo sapiens	Metazoa
P01709	118	1	19	Homo sapiens	Metazoa
