Accession	Organism	Kingdom	Sequence length	transmembrane_term
Q16595	210	Homo sapiens	Metazoa	False
Q9NR28	239	Homo sapiens	Metazoa	False
Q9UMS0	254	Homo sapiens	Metazoa	False
O43933	1283	Homo sapiens	Metazoa	False
P34913	555	Homo sapiens	Metazoa	False
P00558	417	Homo sapiens	Metazoa	False
Q8IZ52	775	Homo sapiens	Metazoa	False
P59103	153	Homo sapiens	Metazoa	False
P61981	247	Homo sapiens	Metazoa	False
O15297	605	Homo sapiens	Metazoa	False
O60678	531	Homo sapiens	Metazoa	False
O60921	280	Homo sapiens	Metazoa	False
P09884	1462	Homo sapiens	Metazoa	False
P11441	157	Homo sapiens	Metazoa	False
P14678	240	Homo sapiens	Metazoa	False
P62304	92	Homo sapiens	Metazoa	False
P62314	119	Homo sapiens	Metazoa	False
Q504T8	468	Homo sapiens	Metazoa	False
Q8IXP5	288	Homo sapiens	Metazoa	False
Q8N4J0	409	Homo sapiens	Metazoa	False
Q8WUJ0	223	Homo sapiens	Metazoa	False
Q8WUQ7	758	Homo sapiens	Metazoa	False
Q9BVJ7	150	Homo sapiens	Metazoa	False
Q9C0C6	399	Homo sapiens	Metazoa	False
Q9NVP2	202	Homo sapiens	Metazoa	False
Q9Y3C4	175	Homo sapiens	Metazoa	False
Q86WA8	852	Homo sapiens	Metazoa	False
P04040	527	Homo sapiens	Metazoa	False
Q9UJM8	370	Homo sapiens	Metazoa	False
A6ND36	823	Homo sapiens	Metazoa	False
O14802	1390	Homo sapiens	Metazoa	False
O75920	110	Homo sapiens	Metazoa	False
P20941	246	Homo sapiens	Metazoa	False
Q6VN20	620	Homo sapiens	Metazoa	False
Q8TC84	345	Homo sapiens	Metazoa	False
Q99543	621	Homo sapiens	Metazoa	False
Q9GZX7	198	Homo sapiens	Metazoa	False
Q9H0Z9	239	Homo sapiens	Metazoa	False
Q9NTX7	359	Homo sapiens	Metazoa	False
Q9NVM4	692	Homo sapiens	Metazoa	False
Q9UNI6	340	Homo sapiens	Metazoa	False
Q15311	655	Homo sapiens	Metazoa	False
O14641	736	Homo sapiens	Metazoa	False
P55210	303	Homo sapiens	Metazoa	False
P62318	126	Homo sapiens	Metazoa	False
Q13642	323	Homo sapiens	Metazoa	False
Q5VWP3	993	Homo sapiens	Metazoa	False
Q96A61	297	Homo sapiens	Metazoa	False
Q9BQ70	676	Homo sapiens	Metazoa	False
Q9H777	363	Homo sapiens	Metazoa	False
Q9NR19	701	Homo sapiens	Metazoa	False
Q9NVD3	440	Homo sapiens	Metazoa	False
O14734	319	Homo sapiens	Metazoa	False
O75521	394	Homo sapiens	Metazoa	False
Q8IV20	430	Homo sapiens	Metazoa	False
O15516	846	Homo sapiens	Metazoa	False
P62306	86	Homo sapiens	Metazoa	False
Q86TI2	863	Homo sapiens	Metazoa	False
Q8IYM2	578	Homo sapiens	Metazoa	False
Q9NXV2	234	Homo sapiens	Metazoa	False
Q9UK32	745	Homo sapiens	Metazoa	False
O00429	736	Homo sapiens	Metazoa	False
Q9GZY8	342	Homo sapiens	Metazoa	False
A4D2B0	266	Homo sapiens	Metazoa	False
O43324	174	Homo sapiens	Metazoa	False
O43665	181	Homo sapiens	Metazoa	False
O75912	1057	Homo sapiens	Metazoa	False
P12268	514	Homo sapiens	Metazoa	False
P62308	76	Homo sapiens	Metazoa	False
P62316	118	Homo sapiens	Metazoa	False
Q13228	472	Homo sapiens	Metazoa	False
Q16236	605	Homo sapiens	Metazoa	False
Q4J6C6	727	Homo sapiens	Metazoa	False
Q53FT3	197	Homo sapiens	Metazoa	False
Q8IXQ6	854	Homo sapiens	Metazoa	False
Q8WWH5	349	Homo sapiens	Metazoa	False
Q9H790	373	Homo sapiens	Metazoa	False
Q9NW08	1133	Homo sapiens	Metazoa	False
Q969V5	352	Homo sapiens	Metazoa	True
Q7Z434	540	Homo sapiens	Metazoa	False
O14862	343	Homo sapiens	Metazoa	False
Q9Y2G2	537	Homo sapiens	Metazoa	False
Q15046	597	Homo sapiens	Metazoa	False
P13051	313	Homo sapiens	Metazoa	False
P51530	1060	Homo sapiens	Metazoa	False
Q96BP2	118	Homo sapiens	Metazoa	False
Q9H611	641	Homo sapiens	Metazoa	False
Q13315	3056	Homo sapiens	Metazoa	False
P33316	252	Homo sapiens	Metazoa	False
Q13686	389	Homo sapiens	Metazoa	False
Q9NS18	164	Homo sapiens	Metazoa	False
P78549	304	Homo sapiens	Metazoa	False
Q9NXA8	310	Homo sapiens	Metazoa	False
P49916	1009	Homo sapiens	Metazoa	False
Q8TAE8	222	Homo sapiens	Metazoa	False
Q9GZT3	109	Homo sapiens	Metazoa	False
Q02218	1023	Homo sapiens	Metazoa	False
Q7L7V1	743	Homo sapiens	Metazoa	False
Q9HD34	91	Homo sapiens	Metazoa	False
Q9Y606	427	Homo sapiens	Metazoa	False
Q8IW19	511	Homo sapiens	Metazoa	False
Q6NZI2	390	Homo sapiens	Metazoa	False
Q9BQG2	462	Homo sapiens	Metazoa	False
Q49B96	90	Homo sapiens	Metazoa	False
Q9NZH6	218	Homo sapiens	Metazoa	False
O15379	428	Homo sapiens	Metazoa	False
O60260	465	Homo sapiens	Metazoa	False
Q12904	312	Homo sapiens	Metazoa	False
Q9C000	1473	Homo sapiens	Metazoa	False
P54105	237	Homo sapiens	Metazoa	False
P61970	127	Homo sapiens	Metazoa	False
P62266	143	Homo sapiens	Metazoa	False
P01100	380	Homo sapiens	Metazoa	False
Q07098	306	Arabidopsis thaliana	Viridiplantae	False
P56192	900	Homo sapiens	Metazoa	False
P62857	69	Homo sapiens	Metazoa	False
O15160	346	Homo sapiens	Metazoa	False
Q8S944	808	Arabidopsis thaliana	Viridiplantae	False
Q9FWR4	213	Arabidopsis thaliana	Viridiplantae	False
Q6GPH4	301	Homo sapiens	Metazoa	False
Q9BV79	373	Homo sapiens	Metazoa	False
Q9H7Z6	458	Homo sapiens	Metazoa	False
Q15831	433	Homo sapiens	Metazoa	False
Q3MIT2	529	Homo sapiens	Metazoa	False
Q9P286	719	Homo sapiens	Metazoa	False
P09211	210	Homo sapiens	Metazoa	False
P53370	316	Homo sapiens	Metazoa	False
Q14653	427	Homo sapiens	Metazoa	False
Q7Z6Z7	4374	Homo sapiens	Metazoa	False
Q96Q11	434	Homo sapiens	Metazoa	False
Q99717	465	Homo sapiens	Metazoa	False
Q9H1K1	167	Homo sapiens	Metazoa	False
Q9UHV9	154	Homo sapiens	Metazoa	False
Q9UJ68	235	Homo sapiens	Metazoa	False
P52759	137	Rattus norvegicus	Metazoa	False
P70473	382	Rattus norvegicus	Metazoa	False
O95568	372	Homo sapiens	Metazoa	False
P78527	4128	Homo sapiens	Metazoa	False
Q6PI26	577	Homo sapiens	Metazoa	False
Q86US8	1419	Homo sapiens	Metazoa	False
Q92841	729	Homo sapiens	Metazoa	False
O15164	1050	Homo sapiens	Metazoa	False
O94763	535	Homo sapiens	Metazoa	False
P19793	462	Homo sapiens	Metazoa	False
P22314	1058	Homo sapiens	Metazoa	False
P49789	147	Homo sapiens	Metazoa	False
P53778	367	Homo sapiens	Metazoa	False
Q99417	103	Homo sapiens	Metazoa	False
Q99807	217	Homo sapiens	Metazoa	False
Q9NX63	227	Homo sapiens	Metazoa	False
Q9ULZ2	295	Homo sapiens	Metazoa	False
O60829	102	Homo sapiens	Metazoa	False
Q8N6R0	699	Homo sapiens	Metazoa	False
Q9BQ95	431	Homo sapiens	Metazoa	False
Q9NQ88	270	Homo sapiens	Metazoa	False
Q9NQP4	134	Homo sapiens	Metazoa	False
Q9Y4E8	981	Homo sapiens	Metazoa	False
P78537	153	Homo sapiens	Metazoa	False
P62826	216	Homo sapiens	Metazoa	False
Q8NBU5	361	Homo sapiens	Metazoa	True
Q6PIL6	250	Homo sapiens	Metazoa	False
O75897	302	Homo sapiens	Metazoa	False
P17812	591	Homo sapiens	Metazoa	False
P41252	1262	Homo sapiens	Metazoa	False
Q01064	536	Homo sapiens	Metazoa	False
Q0IIM8	1120	Homo sapiens	Metazoa	False
Q0VDF9	509	Homo sapiens	Metazoa	False
Q5VWZ2	237	Homo sapiens	Metazoa	False
Q7L5D6	327	Homo sapiens	Metazoa	False
Q8IVU3	1022	Homo sapiens	Metazoa	False
Q8IWV7	1749	Homo sapiens	Metazoa	False
Q8WTX7	329	Homo sapiens	Metazoa	False
Q93015	286	Homo sapiens	Metazoa	False
Q969F9	1004	Homo sapiens	Metazoa	False
Q96A44	273	Homo sapiens	Metazoa	False
Q96G75	393	Homo sapiens	Metazoa	False
Q99619	263	Homo sapiens	Metazoa	False
Q9NRN7	309	Homo sapiens	Metazoa	False
Q9NUV9	329	Homo sapiens	Metazoa	False
Q9ULE6	856	Homo sapiens	Metazoa	False
Q9Y4U1	282	Homo sapiens	Metazoa	False
Q9NWT8	199	Homo sapiens	Metazoa	False
P35813	382	Homo sapiens	Metazoa	False
Q9Y6X9	1032	Homo sapiens	Metazoa	False
Q13268	280	Homo sapiens	Metazoa	False
Q9Y2S7	368	Homo sapiens	Metazoa	False
O09174	381	Mus musculus	Metazoa	False
P25688	303	Mus musculus	Metazoa	False
Q62651	327	Rattus norvegicus	Metazoa	False
Q8LFT2	780	Arabidopsis thaliana	Viridiplantae	False
P00352	501	Homo sapiens	Metazoa	False
P47897	775	Homo sapiens	Metazoa	False
P52566	201	Homo sapiens	Metazoa	False
P53396	1101	Homo sapiens	Metazoa	False
P55786	919	Homo sapiens	Metazoa	False
P62854	115	Homo sapiens	Metazoa	False
P78417	241	Homo sapiens	Metazoa	False
Q04828	323	Homo sapiens	Metazoa	False
Q13946	482	Homo sapiens	Metazoa	False
Q149M9	1564	Homo sapiens	Metazoa	False
Q6XQN6	538	Homo sapiens	Metazoa	False
Q86TX2	421	Homo sapiens	Metazoa	False
Q8NBF2	726	Homo sapiens	Metazoa	False
Q96DG6	245	Homo sapiens	Metazoa	False
Q9NUS5	200	Homo sapiens	Metazoa	False
Q9UPZ3	1129	Homo sapiens	Metazoa	False
Q9Y3U8	105	Homo sapiens	Metazoa	False
Q9Y572	518	Homo sapiens	Metazoa	False
P09874	1014	Homo sapiens	Metazoa	False
Q96K12	515	Homo sapiens	Metazoa	False
Q9ULZ3	195	Homo sapiens	Metazoa	False
O75381	377	Homo sapiens	Metazoa	False
P28328	305	Homo sapiens	Metazoa	False
Q9UBJ2	740	Homo sapiens	Metazoa	False
O00623	359	Homo sapiens	Metazoa	False
O15228	680	Homo sapiens	Metazoa	False
O60683	326	Homo sapiens	Metazoa	False
P28288	659	Homo sapiens	Metazoa	True
O00463	557	Homo sapiens	Metazoa	False
O43314	1243	Homo sapiens	Metazoa	False
O43739	400	Homo sapiens	Metazoa	False
O75688	479	Homo sapiens	Metazoa	False
O95396	460	Homo sapiens	Metazoa	False
O96033	88	Homo sapiens	Metazoa	False
P00966	412	Homo sapiens	Metazoa	False
P0CG30	244	Homo sapiens	Metazoa	False
P23743	735	Homo sapiens	Metazoa	False
P24386	653	Homo sapiens	Metazoa	False
P35228	1153	Homo sapiens	Metazoa	False
P46778	160	Homo sapiens	Metazoa	False
P49207	117	Homo sapiens	Metazoa	False
P49902	561	Homo sapiens	Metazoa	False
P53004	296	Homo sapiens	Metazoa	False
Q16222	522	Homo sapiens	Metazoa	False
Q5GLZ8	1057	Homo sapiens	Metazoa	False
Q6AWC2	1192	Homo sapiens	Metazoa	False
Q6NVU6	218	Homo sapiens	Metazoa	False
Q6PD74	315	Homo sapiens	Metazoa	False
Q8IWZ4	224	Homo sapiens	Metazoa	False
Q8N3V7	929	Homo sapiens	Metazoa	False
Q969X0	211	Homo sapiens	Metazoa	False
Q96MI9	1112	Homo sapiens	Metazoa	False
P50091	288	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q8LF36	492	Arabidopsis thaliana	Viridiplantae	False
Q8N3C0	2202	Homo sapiens	Metazoa	False
A4D126	451	Homo sapiens	Metazoa	False
A6NHX0	329	Homo sapiens	Metazoa	False
O00764	312	Homo sapiens	Metazoa	False
P18283	190	Homo sapiens	Metazoa	False
P21399	889	Homo sapiens	Metazoa	False
P49888	294	Homo sapiens	Metazoa	False
P49915	693	Homo sapiens	Metazoa	False
P54136	660	Homo sapiens	Metazoa	False
P61353	136	Homo sapiens	Metazoa	False
P62273	56	Homo sapiens	Metazoa	False
P62942	108	Homo sapiens	Metazoa	False
P84074	193	Homo sapiens	Metazoa	False
Q05084	483	Homo sapiens	Metazoa	False
Q13155	320	Homo sapiens	Metazoa	False
Q14032	418	Homo sapiens	Metazoa	False
Q16719	465	Homo sapiens	Metazoa	False
Q86UK7	904	Homo sapiens	Metazoa	False
Q8TAC2	188	Homo sapiens	Metazoa	False
Q8WYK0	555	Homo sapiens	Metazoa	False
Q96BD6	273	Homo sapiens	Metazoa	False
Q9BUX1	222	Homo sapiens	Metazoa	False
Q9HCR9	933	Homo sapiens	Metazoa	False
Q9NQW7	623	Homo sapiens	Metazoa	False
Q9NY33	737	Homo sapiens	Metazoa	False
Q9ULE0	1216	Homo sapiens	Metazoa	False
Q9ULP0	352	Homo sapiens	Metazoa	False
Q9UQN3	213	Homo sapiens	Metazoa	False
O00204	365	Homo sapiens	Metazoa	False
P19367	917	Homo sapiens	Metazoa	False
P52789	917	Homo sapiens	Metazoa	False
P41921	483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
Q92968	403	Homo sapiens	Metazoa	False
P31327	1500	Homo sapiens	Metazoa	False
Q9NSK7	141	Homo sapiens	Metazoa	True
Q13608	980	Homo sapiens	Metazoa	False
P49758	472	Homo sapiens	Metazoa	False
O60524	1076	Homo sapiens	Metazoa	False
O94822	1766	Homo sapiens	Metazoa	False
O96007	188	Homo sapiens	Metazoa	False
P14868	501	Homo sapiens	Metazoa	False
P22061	227	Homo sapiens	Metazoa	False
P26374	656	Homo sapiens	Metazoa	False
P63220	83	Homo sapiens	Metazoa	False
Q02878	288	Homo sapiens	Metazoa	False
Q07020	188	Homo sapiens	Metazoa	False
Q14432	1141	Homo sapiens	Metazoa	True
Q15126	192	Homo sapiens	Metazoa	False
Q16773	422	Homo sapiens	Metazoa	False
Q92615	738	Homo sapiens	Metazoa	False
Q96G03	612	Homo sapiens	Metazoa	False
Q9BRS2	568	Homo sapiens	Metazoa	False
Q9H0F6	387	Homo sapiens	Metazoa	False
Q9H0R1	490	Homo sapiens	Metazoa	False
Q9H227	469	Homo sapiens	Metazoa	False
Q9H9E3	785	Homo sapiens	Metazoa	False
Q9NX09	232	Homo sapiens	Metazoa	False
Q9UBB6	729	Homo sapiens	Metazoa	False
Q9Y233	1055	Homo sapiens	Metazoa	False
Q9Y3R4	380	Homo sapiens	Metazoa	False
Q9NP80	782	Homo sapiens	Metazoa	False
P04049	648	Homo sapiens	Metazoa	False
Q15714	1073	Homo sapiens	Metazoa	False
Q8GW43	476	Arabidopsis thaliana	Viridiplantae	False
Q9FWA3	486	Arabidopsis thaliana	Viridiplantae	False
Q96MP8	289	Homo sapiens	Metazoa	False
Q96D53	544	Homo sapiens	Metazoa	False
Q9NZ56	1722	Homo sapiens	Metazoa	False
Q9BXM7	581	Homo sapiens	Metazoa	False
O00750	1634	Homo sapiens	Metazoa	False
Q7RTR0	991	Homo sapiens	Metazoa	False
Q01105	290	Homo sapiens	Metazoa	False
Q63276	420	Rattus norvegicus	Metazoa	False
Q96BY2	351	Homo sapiens	Metazoa	False
O75368	114	Homo sapiens	Metazoa	False
Q9BYG8	508	Homo sapiens	Metazoa	False
P21980	687	Homo sapiens	Metazoa	False
O60291	552	Homo sapiens	Metazoa	False
O15294	1046	Homo sapiens	Metazoa	False
Q9NPP4	1024	Homo sapiens	Metazoa	False
O04951	307	Arabidopsis thaliana	Viridiplantae	False
P41562	414	Rattus norvegicus	Metazoa	False
P50101	1230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	False
O00186	592	Homo sapiens	Metazoa	False
Q6PFW1	1433	Homo sapiens	Metazoa	False
Q6ZT62	677	Homo sapiens	Metazoa	False
Q86TV6	843	Homo sapiens	Metazoa	False
Q8TCU6	1659	Homo sapiens	Metazoa	False
Q9BYI3	521	Homo sapiens	Metazoa	False
Q8N884	522	Homo sapiens	Metazoa	False
Q9Y4P1	393	Homo sapiens	Metazoa	False
O60443	496	Homo sapiens	Metazoa	False
Q8N2Y8	1516	Homo sapiens	Metazoa	False
Q9BZ67	464	Homo sapiens	Metazoa	False
Q969K3	372	Homo sapiens	Metazoa	False
Q01082	2364	Homo sapiens	Metazoa	False
P05230	155	Homo sapiens	Metazoa	False
P14735	1019	Homo sapiens	Metazoa	False
P49619	791	Homo sapiens	Metazoa	False
P59044	892	Homo sapiens	Metazoa	False
Q96JJ3	720	Homo sapiens	Metazoa	False
Q9NZ09	502	Homo sapiens	Metazoa	False
O95571	254	Homo sapiens	Metazoa	False
Q96LW4	560	Homo sapiens	Metazoa	False
O43808	307	Homo sapiens	Metazoa	False
Q86W56	976	Homo sapiens	Metazoa	False
Q99497	189	Homo sapiens	Metazoa	False
Q9Y3D6	152	Homo sapiens	Metazoa	False
P46379	1132	Homo sapiens	Metazoa	False
Q96CM3	377	Homo sapiens	Metazoa	False
O43504	91	Homo sapiens	Metazoa	False
P07814	1512	Homo sapiens	Metazoa	False
Q4ADV7	1423	Homo sapiens	Metazoa	False
O43524	673	Homo sapiens	Metazoa	False
O43865	530	Homo sapiens	Metazoa	False
Q13574	928	Homo sapiens	Metazoa	False
Q9H6R0	707	Homo sapiens	Metazoa	False
Q66K74	1059	Homo sapiens	Metazoa	False
Q9GZV1	360	Homo sapiens	Metazoa	False
Q7LBR1	199	Homo sapiens	Metazoa	False
Q969Q5	203	Homo sapiens	Metazoa	False
P38646	679	Homo sapiens	Metazoa	False
O95831	613	Homo sapiens	Metazoa	False
Q92546	391	Homo sapiens	Metazoa	False
Q9NZZ3	219	Homo sapiens	Metazoa	False
Q07820	350	Homo sapiens	Metazoa	False
P15104	373	Homo sapiens	Metazoa	False
Q8TC71	538	Homo sapiens	Metazoa	False
Q05315	142	Homo sapiens	Metazoa	False
P18054	663	Homo sapiens	Metazoa	False
Q14116	193	Homo sapiens	Metazoa	False
P41220	211	Homo sapiens	Metazoa	False
Q14154	515	Homo sapiens	Metazoa	False
P19484	476	Homo sapiens	Metazoa	False
P19532	575	Homo sapiens	Metazoa	False
Q13283	466	Homo sapiens	Metazoa	False
Q96PU8	341	Homo sapiens	Metazoa	False
Q9UH77	587	Homo sapiens	Metazoa	False
A6NK58	231	Homo sapiens	Metazoa	False
O43716	136	Homo sapiens	Metazoa	False
O43837	385	Homo sapiens	Metazoa	False
O75127	700	Homo sapiens	Metazoa	False
P13995	350	Homo sapiens	Metazoa	False
P23378	1020	Homo sapiens	Metazoa	False
P23434	173	Homo sapiens	Metazoa	False
P43304	727	Homo sapiens	Metazoa	False
P82930	218	Homo sapiens	Metazoa	False
P83111	547	Homo sapiens	Metazoa	False
P86397	168	Homo sapiens	Metazoa	False
Q14249	297	Homo sapiens	Metazoa	False
Q16540	153	Homo sapiens	Metazoa	False
Q49AM1	385	Homo sapiens	Metazoa	False
Q4G0N4	442	Homo sapiens	Metazoa	False
Q4G176	576	Homo sapiens	Metazoa	False
Q5EBM0	449	Homo sapiens	Metazoa	False
Q5T440	356	Homo sapiens	Metazoa	False
Q68CK6	577	Homo sapiens	Metazoa	False
Q86U28	154	Homo sapiens	Metazoa	False
Q8TB37	319	Homo sapiens	Metazoa	False
Q969P6	601	Homo sapiens	Metazoa	False
Q96HY7	919	Homo sapiens	Metazoa	False
Q96IR7	371	Homo sapiens	Metazoa	False
Q99757	166	Homo sapiens	Metazoa	False
Q9BRQ6	235	Homo sapiens	Metazoa	False
Q9BVL4	669	Homo sapiens	Metazoa	False
Q9BW91	350	Homo sapiens	Metazoa	False
Q9BX68	163	Homo sapiens	Metazoa	False
Q9H0U6	180	Homo sapiens	Metazoa	False
Q9H3H1	467	Homo sapiens	Metazoa	False
Q9H3J6	166	Homo sapiens	Metazoa	False
Q9H9J2	332	Homo sapiens	Metazoa	False
Q9H9P8	463	Homo sapiens	Metazoa	False
Q9NPB1	228	Homo sapiens	Metazoa	False
Q9UKU7	415	Homo sapiens	Metazoa	False
Q9Y375	327	Homo sapiens	Metazoa	False
Q9Y399	296	Homo sapiens	Metazoa	False
Q9Y3B7	192	Homo sapiens	Metazoa	False
O00142	265	Homo sapiens	Metazoa	False
O15091	583	Homo sapiens	Metazoa	False
O75570	445	Homo sapiens	Metazoa	False
P24752	427	Homo sapiens	Metazoa	False
P31937	336	Homo sapiens	Metazoa	False
P46199	727	Homo sapiens	Metazoa	False
P49753	483	Homo sapiens	Metazoa	False
P82650	360	Homo sapiens	Metazoa	False
Q16698	335	Homo sapiens	Metazoa	False
Q53R41	847	Homo sapiens	Metazoa	False
Q86TS9	123	Homo sapiens	Metazoa	False
Q86TW2	530	Homo sapiens	Metazoa	False
Q8IVS2	390	Homo sapiens	Metazoa	False
Q8N183	169	Homo sapiens	Metazoa	False
Q8N573	874	Homo sapiens	Metazoa	False
Q92665	395	Homo sapiens	Metazoa	False
Q96DV4	380	Homo sapiens	Metazoa	False
Q96EY7	689	Homo sapiens	Metazoa	False
Q96I23	114	Homo sapiens	Metazoa	False
Q96NN9	605	Homo sapiens	Metazoa	False
Q96T66	252	Homo sapiens	Metazoa	False
Q99551	399	Homo sapiens	Metazoa	False
Q9BXH1	193	Homo sapiens	Metazoa	False
Q9BYV1	514	Homo sapiens	Metazoa	False
Q9H0R6	528	Homo sapiens	Metazoa	False
Q9HBH1	243	Homo sapiens	Metazoa	False
Q9NQ50	206	Homo sapiens	Metazoa	False
Q9NUQ9	324	Homo sapiens	Metazoa	False
Q9NWU1	459	Homo sapiens	Metazoa	False
Q9NYK5	338	Homo sapiens	Metazoa	False
Q9P032	175	Homo sapiens	Metazoa	False
Q9P0J1	537	Homo sapiens	Metazoa	False
Q9P2R7	463	Homo sapiens	Metazoa	False
Q9Y2R9	242	Homo sapiens	Metazoa	False
Q9Y6G3	142	Homo sapiens	Metazoa	False
O14561	156	Homo sapiens	Metazoa	False
O43521	198	Homo sapiens	Metazoa	False
O75648	421	Homo sapiens	Metazoa	False
O75879	557	Homo sapiens	Metazoa	False
P0C7P0	127	Homo sapiens	Metazoa	False
P22570	491	Homo sapiens	Metazoa	False
P32322	319	Homo sapiens	Metazoa	False
P50213	366	Homo sapiens	Metazoa	False
P82673	323	Homo sapiens	Metazoa	False
P82932	125	Homo sapiens	Metazoa	False
Q13794	54	Homo sapiens	Metazoa	False
Q53FZ2	586	Homo sapiens	Metazoa	False
Q53S33	107	Homo sapiens	Metazoa	False
Q68DD2	849	Homo sapiens	Metazoa	False
Q6UB28	335	Homo sapiens	Metazoa	False
Q6UB35	978	Homo sapiens	Metazoa	False
Q7L3V2	364	Homo sapiens	Metazoa	False
Q7Z7H8	261	Homo sapiens	Metazoa	False
Q8IXM3	137	Homo sapiens	Metazoa	False
Q8N4E7	242	Homo sapiens	Metazoa	False
Q96EL3	112	Homo sapiens	Metazoa	False
Q9BQP7	344	Homo sapiens	Metazoa	False
Q9BSH4	297	Homo sapiens	Metazoa	False
Q9BYC8	188	Homo sapiens	Metazoa	False
Q9HAC7	438	Homo sapiens	Metazoa	False
Q9NRX2	175	Homo sapiens	Metazoa	False
Q9NWU5	206	Homo sapiens	Metazoa	False
Q9NZE8	188	Homo sapiens	Metazoa	False
Q9UI32	602	Homo sapiens	Metazoa	False
Q9Y3D3	137	Homo sapiens	Metazoa	False
Q9Y3E2	137	Homo sapiens	Metazoa	False
P35790	457	Homo sapiens	Metazoa	False
Q63HN8	5207	Homo sapiens	Metazoa	False
Q9HB07	376	Homo sapiens	Metazoa	False
P61224	184	Homo sapiens	Metazoa	False
Q14156	821	Homo sapiens	Metazoa	False
Q9Y2G0	817	Homo sapiens	Metazoa	False
Q9Y6H1	151	Homo sapiens	Metazoa	False
Q96MT3	831	Homo sapiens	Metazoa	False
Q9NX47	278	Homo sapiens	Metazoa	False
Q9H299	93	Homo sapiens	Metazoa	False
O00763	2458	Homo sapiens	Metazoa	False
O60333	1816	Homo sapiens	Metazoa	False
O60783	128	Homo sapiens	Metazoa	False
P42765	397	Homo sapiens	Metazoa	False
P43897	325	Homo sapiens	Metazoa	False
P51398	398	Homo sapiens	Metazoa	False
P56134	94	Homo sapiens	Metazoa	True
P59942	119	Homo sapiens	Metazoa	False
Q13405	166	Homo sapiens	Metazoa	False
Q16822	640	Homo sapiens	Metazoa	False
Q3SXM5	330	Homo sapiens	Metazoa	False
Q5SXM8	178	Homo sapiens	Metazoa	False
Q5T2R2	415	Homo sapiens	Metazoa	False
Q6IB77	296	Homo sapiens	Metazoa	False
Q6P4F2	183	Homo sapiens	Metazoa	False
Q7L5Y1	443	Homo sapiens	Metazoa	False
Q7Z695	626	Homo sapiens	Metazoa	False
Q86YH6	399	Homo sapiens	Metazoa	False
Q8TDB4	240	Homo sapiens	Metazoa	False
Q96DX5	294	Homo sapiens	Metazoa	False
Q96E29	417	Homo sapiens	Metazoa	False
Q96I59	477	Homo sapiens	Metazoa	False
Q96SZ6	601	Homo sapiens	Metazoa	False
Q96T21	854	Homo sapiens	Metazoa	False
Q9H825	291	Homo sapiens	Metazoa	False
Q9NNW7	524	Homo sapiens	Metazoa	False
Q9NUJ1	306	Homo sapiens	Metazoa	False
Q9NWQ9	140	Homo sapiens	Metazoa	False
Q9NWS8	449	Homo sapiens	Metazoa	False
Q9UDR5	926	Homo sapiens	Metazoa	False
Q9UI17	866	Homo sapiens	Metazoa	False
Q9UII2	106	Homo sapiens	Metazoa	False
Q9UK39	431	Homo sapiens	Metazoa	False
Q9Y3D2	182	Homo sapiens	Metazoa	False
Q9Y3D9	190	Homo sapiens	Metazoa	False
